code,name,name_ascii,geonameid,iso,id,name_cn
GY.19,Upper Takutu-Upper Essequibo,Upper Takutu-Upper Essequibo,3375463,GY,19,上塔库图-上埃塞奎博
GY.18,Upper Demerara-Berbice,Upper Demerara-Berbice,3375469,GY,18,上德梅拉拉-伯比斯区
GY.17,Potaro-Siparuni,Potaro-Siparuni,3376386,GY,17,波塔罗-锡帕鲁尼区
GY.16,Pomeroon-Supenaam,Pomeroon-Supenaam,3376407,GY,16,波默伦-苏佩纳姆区
GY.15,Mahaica-Berbice,Mahaica-Berbice,3377274,GY,15,马海卡-伯比斯区
GY.14,Essequibo Islands-West Demerara,Essequibo Islands-West Demerara,3378741,GY,14,埃塞奎博群岛-西德梅拉拉区
GY.13,East Berbice-Corentyne,East Berbice-Corentyne,3378840,GY,13,
GY.12,Demerara-Mahaica,Demerara-Mahaica,3378950,GY,12,德梅拉拉-马海卡区
GY.11,Cuyuni-Mazaruni,Cuyuni-Mazaruni,3379023,GY,11,库尤尼-马扎鲁尼区
GY.10,Barima-Waini,Barima-Waini,3379515,GY,10,巴里马-瓦伊尼
