code,name,name_ascii,geonameid,iso,id,name_cn
HK.NYL,Yuen Long,Yuen Long,1818224,HK,NYL,
HK.NTW,Tsuen Wan,Tsuen Wan,1818458,HK,NTW,
HK.NTP,Tai Po,Tai Po,1818672,HK,NTP,
HK.NSK,Sai Kung,Sai Kung,1819049,HK,NSK,
HK.NIS,Islands,Islands,1819708,HK,NIS,離島區
HK.HCW,Central and Western,Central and Western,7533598,HK,HCW,中西區
HK.HWC,Wan Chai,Wan Chai,7533607,HK,HWC,灣仔區
HK.HEA,Eastern,Eastern,7533608,HK,HEA,東區
HK.HSO,Southern,Southern,7533609,HK,HSO,
HK.KYT,Yau Tsim Mong,Yau Tsim Mong,7533610,HK,KYT,油尖旺區
HK.KSS,Sham Shui Po,Sham Shui Po,7533611,HK,KSS,
HK.KKC,Kowloon City,Kowloon City,7533612,HK,KKC,九龍城區
HK.KWT,Wong Tai Sin,Wong Tai Sin,7533613,HK,KWT,
HK.KKT,Kwun Tong,Kwun Tong,7533614,HK,KKT,觀塘
HK.NKT,Kwai Tsing,Kwai Tsing,7533615,HK,NKT,葵青區
HK.NTM,Tuen Mun,Tuen Mun,7533616,HK,NTM,屯門區
HK.NNO,North,North,7533617,HK,NNO,北區
HK.NST,Sha Tin,Sha Tin,7533618,HK,NST,沙田區
