code,name,name_ascii,geonameid,iso,id,name_cn
HN.18,Yoro Department,Yoro Department,3600193,HN,18,约罗省
HN.17,Valle Department,Valle Department,3600456,HN,17,山谷省
HN.16,Santa Bárbara Department,Santa Barbara Department,3601689,HN,16,
HN.15,Olancho Department,Olancho Department,3604249,HN,15,奥兰乔省
HN.14,Ocotepeque Department,Ocotepeque Department,3604318,HN,14,奥科特佩克省
HN.13,Lempira Department,Lempira Department,3606066,HN,13,伦皮拉省
HN.12,La Paz Department,La Paz Department,3607251,HN,12,拉巴斯省
HN.11,Bay Islands,Bay Islands,3608814,HN,11,
HN.10,Intibucá Department,Intibuca Department,3608833,HN,10,因蒂布卡省
HN.09,Gracias a Dios Department,Gracias a Dios Department,3609583,HN,9,格拉西亚斯-阿迪奥斯省
HN.08,Francisco Morazán Department,Francisco Morazan Department,3609672,HN,8,弗朗西斯科·莫拉桑省
HN.07,El Paraíso Department,El Paraiso Department,3610942,HN,7,埃尔帕拉伊索省
HN.06,Cortés Department,Cortes Department,3613140,HN,6,科尔特斯省
HN.05,Copán Department,Copan Department,3613229,HN,5,科潘省
HN.04,Comayagua Department,Comayagua Department,3613319,HN,4,科马亚瓜省
HN.03,Colón Department,Colon Department,3613358,HN,3,科隆省
HN.02,Choluteca Department,Choluteca Department,3613527,HN,2,乔卢特卡省
HN.01,Atlántida Department,Atlantida Department,3615027,HN,1,阿特兰蒂达省
