code,name,name_ascii,geonameid,iso,id,name_cn
HR.01,Bjelovar-Bilogora,Bjelovar-Bilogora,3337511,HR,1,
HR.02,Brod-Posavina,Brod-Posavina,3337512,HR,2,
HR.03,Dubrovnik-Neretva,Dubrovnik-Neretva,3337513,HR,3,
HR.04,Istria,Istria,3337514,HR,4,
HR.05,Karlovac,Karlovac,3337515,HR,5,
HR.06,Koprivnica-Križevci,Koprivnica-Krizevci,3337518,HR,6,
HR.07,Krapina-Zagorje,Krapina-Zagorje,3337519,HR,7,
HR.08,Lika-Senj,Lika-Senj,3337520,HR,8,
HR.09,Međimurje,Megimurje,3337521,HR,9,
HR.10,County of Osijek-Baranja,County of Osijek-Baranja,3337522,HR,10,
HR.11,Požega-Slavonia,Pozega-Slavonia,3337523,HR,11,
HR.12,Primorje-Gorski Kotar,Primorje-Gorski Kotar,3337524,HR,12,
HR.13,Šibenik-Knin,Sibenik-Knin,3337525,HR,13,
HR.14,Sisak-Moslavina,Sisak-Moslavina,3337526,HR,14,
HR.15,Split-Dalmatia,Split-Dalmatia,3337527,HR,15,
HR.16,Varaždin,Varazdin,3337528,HR,16,
HR.18,Vukovar-Srijem,Vukovar-Srijem,3337529,HR,18,
HR.19,Zadar,Zadar,3337530,HR,19,
HR.20,Zagreb County,Zagreb County,3337531,HR,20,
HR.21,Zagreb,Zagreb,3337532,HR,21,
HR.17,Virovitica-Podravina,Virovitica-Podravina,3337533,HR,17,
