code,name,name_ascii,geonameid,iso,id,name_cn
HU.18,Szabolcs-Szatmár-Bereg,Szabolcs-Szatmar-Bereg,715593,HU,18,索博爾奇-索特馬爾-貝拉格州
HU.20,Jász-Nagykun-Szolnok,Jasz-Nagykun-Szolnok,719637,HU,20,亚斯-瑙吉孔-索尔诺克州
HU.11,Heves County,Heves County,720002,HU,11,赫维什州
HU.10,Hajdú-Bihar,Hajdu-Bihar,720293,HU,10,豪伊杜-比豪尔州
HU.06,Csongrád,Csongrad,721589,HU,6,
HU.04,Borsod-Abaúj-Zemplén,Borsod-Abauj-Zemplen,722064,HU,4,包爾紹德-奧包烏伊-曾普倫州
HU.03,Bekes County,Bekes County,722433,HU,3,
HU.24,Zala County,Zala County,3042613,HU,24,佐洛州
HU.23,Veszprém,Veszprem,3042925,HU,23,
HU.22,Vas County,Vas County,3043047,HU,22,沃什州
HU.21,Tolna County,Tolna County,3043845,HU,21,托尔瑙州
HU.17,Somogy County,Somogy County,3045226,HU,17,绍莫吉州
HU.16,Pest County,Pest County,3046431,HU,16,佩斯州
HU.14,Nógrád,Nograd,3047348,HU,14,
HU.12,Komárom-Esztergom,Komarom-Esztergom,3049518,HU,12,科馬羅姆-埃斯泰爾戈姆州
HU.09,Győr-Moson-Sopron,Gyor-Moson-Sopron,3051977,HU,9,傑爾-莫雄-肖普朗州
HU.08,Fejér,Fejer,3053028,HU,8,費耶爾州
HU.05,Budapest,Budapest,3054638,HU,5,
HU.02,Baranya,Baranya,3055399,HU,2,
HU.01,Bács-Kiskun,Bacs-Kiskun,3055744,HU,1,巴奇-基什孔州
