code,name,name_ascii,geonameid,iso,id,name_cn
ID.26,North Sumatra,North Sumatra,1213642,ID,26,北苏门答腊省
ID.01,Aceh,Aceh,1215638,ID,01,
ID.10,Yogyakarta,Yogyakarta,1621176,ID,10,
ID.32,South Sumatra,South Sumatra,1626196,ID,32,南苏门答腊省
ID.24,West Sumatra,West Sumatra,1626197,ID,24,
ID.31,North Sulawesi,North Sulawesi,1626229,ID,31,北苏拉威西省
ID.22,Southeast Sulawesi,Southeast Sulawesi,1626230,ID,22,
ID.21,Central Sulawesi,Central Sulawesi,1626231,ID,21,中苏拉威西省
ID.38,South Sulawesi,South Sulawesi,1626232,ID,38,
ID.37,Riau,Riau,1629652,ID,37,
ID.18,East Nusa Tenggara,East Nusa Tenggara,1633791,ID,18,
ID.17,West Nusa Tenggara,West Nusa Tenggara,1633792,ID,17,
ID.28,Maluku,Maluku,1636627,ID,28,
ID.15,Lampung,Lampung,1638535,ID,15,
ID.14,East Kalimantan,East Kalimantan,1641897,ID,14,東加里曼丹省
ID.13,Central Kalimantan,Central Kalimantan,1641898,ID,13,
ID.12,South Kalimantan,South Kalimantan,1641899,ID,12,南加里曼丹省
ID.11,West Kalimantan,West Kalimantan,1641900,ID,11,西加里曼丹省
ID.08,East Java,East Java,1642668,ID,08,东爪哇省
ID.07,Central Java,Central Java,1642669,ID,07,中爪哇省
ID.30,West Java,West Java,1642672,ID,30,西爪哇省
ID.05,Jambi,Jambi,1642856,ID,05,
ID.04,Jakarta,Jakarta,1642907,ID,04,
ID.36,Papua,Papua,1643012,ID,36,
ID.03,Bengkulu,Bengkulu,1649147,ID,03,
ID.02,Bali,Bali,1650535,ID,02,巴厘岛
ID.33,Banten,Banten,1923045,ID,33,万丹省
ID.34,Gorontalo,Gorontalo,1923046,ID,34,
ID.35,Bangka–Belitung Islands,Bangka-Belitung Islands,1923047,ID,35,邦加-勿里洞省
ID.29,North Maluku,North Maluku,1958070,ID,29,
ID.39,West Papua,West Papua,1996549,ID,39,
ID.41,West Sulawesi,West Sulawesi,1996550,ID,41,
ID.40,Riau Islands,Riau Islands,1996551,ID,40,
ID.42,North Kalimantan,North Kalimantan,8604684,ID,42,
ID.PD,Southwest Papua,Southwest Papua,12503510,ID,PD,
ID.PT,Central Papua,Central Papua,12503511,ID,PT,
ID.PE,Highland Papua,Highland Papua,12503512,ID,PE,
ID.PS,South Papua,South Papua,12503513,ID,PS,
