code,name,name_ascii,geonameid,iso,id,name_cn
IN.28,West Bengal,West Bengal,1252881,IN,28,西孟加拉邦
IN.36,Uttar Pradesh,Uttar Pradesh,1253626,IN,36,北方邦
IN.26,Tripura,Tripura,1254169,IN,26,特里普拉邦
IN.40,Telangana,Telangana,1254788,IN,40,特伦甘纳邦
IN.25,Tamil Nadu,Tamil Nadu,1255053,IN,25,泰米尔纳德邦
IN.29,Sikkim,Sikkim,1256312,IN,29,锡金
IN.24,Rajasthan,Rajasthan,1258899,IN,24,拉贾斯坦邦
IN.23,Punjab,Punjab,1259223,IN,23,旁遮普邦
IN.22,Puducherry,Puducherry,1259424,IN,22,本地治里
IN.21,Odisha,Odisha,1261029,IN,21,
IN.20,Nagaland,Nagaland,1262271,IN,20,那加兰邦
IN.31,Mizoram,Mizoram,1262963,IN,31,米佐拉姆邦
IN.18,Meghalaya,Meghalaya,1263207,IN,18,梅加拉亚邦
IN.17,Manipur,Manipur,1263706,IN,17,曼尼普尔邦
IN.16,Maharashtra,Maharashtra,1264418,IN,16,马哈拉施特拉邦
IN.35,Madhya Pradesh,Madhya Pradesh,1264542,IN,35,中央邦
IN.14,Laccadives,Laccadives,1265206,IN,14,
IN.13,Kerala,Kerala,1267254,IN,13,喀拉拉邦
IN.19,Karnataka,Karnataka,1267701,IN,19,卡纳塔克邦
IN.12,Jammu and Kashmir,Jammu and Kashmir,1269320,IN,12,
IN.11,Himachal Pradesh,Himachal Pradesh,1270101,IN,11,喜马偕尔邦
IN.10,Haryana,Haryana,1270260,IN,10,哈里亚纳邦
IN.09,Gujarat,Gujarat,1270770,IN,9,古吉拉特邦
IN.33,Goa,Goa,1271157,IN,33,果阿邦
IN.07,Delhi,Delhi,1273293,IN,7,
IN.05,Chandigarh,Chandigarh,1274744,IN,5,昌迪加尔
IN.34,Bihar,Bihar,1275715,IN,34,比哈尔邦
IN.03,Assam,Assam,1278253,IN,3,阿萨姆邦
IN.30,Arunachal Pradesh,Arunachal Pradesh,1278341,IN,30,阿鲁纳恰尔邦
IN.02,Andhra Pradesh,Andhra Pradesh,1278629,IN,2,安得拉邦
IN.01,Andaman and Nicobar,Andaman and Nicobar,1278647,IN,1,安达曼-尼科巴群岛
IN.37,Chhattisgarh,Chhattisgarh,1444364,IN,37,恰蒂斯加尔邦
IN.38,Jharkhand,Jharkhand,1444365,IN,38,贾坎德邦
IN.39,Uttarakhand,Uttarakhand,1444366,IN,39,
IN.41,Ladakh,Ladakh,12096464,IN,41,拉達克
IN.52,Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli and Daman and Diu,12165662,IN,52,
