code,name,name_ascii,geonameid,iso,id,name_cn
IQ.02,Basra,Basra,89341,IQ,2,
IQ.16,Wāsiţ,Wasit,89693,IQ,16,
IQ.18,Salah ad Din,Salah ad Din,91695,IQ,18,萨拉赫丁省
IQ.15,Nineveh,Nineveh,92877,IQ,15,
IQ.14,Maysan,Maysan,93540,IQ,14,米桑省
IQ.12,Karbalāʼ,Muhafazat Karbala',94823,IQ,12,
IQ.11,Erbil,Erbil,95445,IQ,11,
IQ.10,Diyālá,Diyala,96965,IQ,10,迪亚拉省
IQ.09,Dhi Qar,Dhi Qar,97019,IQ,9,济加尔省
IQ.08,Duhok,Duhok,97270,IQ,8,杜胡克省
IQ.07,Baghdad,Baghdad,98180,IQ,7,巴格达省
IQ.06,Bābil,Babil,98227,IQ,6,
IQ.13,Kirkuk,Kirkuk,98410,IQ,13,
IQ.05,Sulaymaniyah,Sulaymaniyah,98465,IQ,5,
IQ.17,An Najaf,An Najaf,98862,IQ,17,
IQ.04,Al Qādisīyah,Al Qadisiyah,99022,IQ,4,
IQ.03,Al Muthanna Governorate,Al Muthanna Governorate,99032,IQ,3,穆萨纳省
IQ.01,Al Anbar,Al Anbar,99592,IQ,1,安巴尔省
IQ.19,Halabja Governorate,Halabja Governorate,12218240,IQ,19,
