code,name,name_ascii,geonameid,iso,id,name_cn
IT.15,Sicily,Sicily,2523119,IT,15,西西里岛
IT.14,Sardinia,Sardinia,2523228,IT,14,
IT.03,Calabria,Calabria,2525468,IT,3,卡拉布里亚
IT.20,Veneto,Veneto,3164604,IT,20,威尼托
IT.19,Aosta Valley,Aosta Valley,3164857,IT,19,
IT.18,Umbria,Umbria,3165048,IT,18,翁布里亚
IT.17,Trentino-Alto Adige,Trentino-Alto Adige,3165244,IT,17,
IT.16,Tuscany,Tuscany,3165361,IT,16,托斯卡纳
IT.13,Apulia,Apulia,3169778,IT,13,普利亚
IT.12,Piedmont,Piedmont,3170831,IT,12,皮埃蒙特
IT.11,Molise,Molise,3173222,IT,11,莫利塞
IT.10,The Marches,The Marches,3174004,IT,10,马尔凯
IT.09,Lombardy,Lombardy,3174618,IT,9,
IT.08,Liguria,Liguria,3174725,IT,8,利古里亞
IT.07,Lazio,Lazio,3174976,IT,7,拉齐奥
IT.06,Friuli Venezia Giulia,Friuli Venezia Giulia,3176525,IT,6,
IT.05,Emilia-Romagna,Emilia-Romagna,3177401,IT,5,
IT.04,Campania,Campania,3181042,IT,4,坎帕尼亚
IT.02,Basilicate,Basilicate,3182306,IT,2,巴斯利卡塔
IT.01,Abruzzo,Abruzzo,3183560,IT,1,阿布鲁佐
