code,name,name_ascii,geonameid,iso,id,name_cn
JM.16,Westmoreland,Westmoreland,3488081,JM,16,西摩兰区
JM.15,Trelawny Parish,Trelawny Parish,3488222,JM,15,特里洛尼区
JM.14,Saint Thomas Parish,Saint Thomas Parish,3488688,JM,14,圣托马斯区
JM.13,Saint Mary Parish,Saint Mary Parish,3488693,JM,13,圣玛丽区
JM.12,Saint James Parish,Saint James Parish,3488700,JM,12,圣詹姆斯区
JM.11,St. Elizabeth,St. Elizabeth,3488708,JM,11,圣伊丽莎白区
JM.10,Saint Catherine Parish,Saint Catherine Parish,3488711,JM,10,圣凯瑟琳区
JM.09,Saint Ann Parish,Saint Ann Parish,3488715,JM,9,圣安娜区
JM.08,Saint Andrew Parish,Saint Andrew Parish,3488716,JM,8,圣安德鲁区
JM.07,Portland Parish,Portland Parish,3488997,JM,7,波特兰区
JM.04,Manchester,Manchester,3489586,JM,4,曼彻斯特区
JM.17,Kingston,Kingston,3489853,JM,17,金斯敦区
JM.02,Hanover,Hanover,3490145,JM,2,汉诺威区
JM.01,Clarendon,Clarendon,3490952,JM,1,克拉伦登区
