code,name,name_ascii,geonameid,iso,id,name_cn
JP.46,Yamanashi,Yamanashi,1848649,JP,46,山梨县
JP.45,Yamaguchi,Yamaguchi,1848681,JP,45,山口县
JP.43,Wakayama,Wakayama,1848938,JP,43,和歌山县
JP.42,Toyama,Toyama,1849872,JP,42,富山县
JP.41,Tottori,Tottori,1849890,JP,41,鸟取县
JP.40,Tokyo,Tokyo,1850144,JP,40,东京都
JP.39,Tokushima,Tokushima,1850157,JP,39,德岛县
JP.38,Tochigi,Tochigi,1850310,JP,38,栃木县
JP.37,Shizuoka,Shizuoka,1851715,JP,37,静冈县
JP.36,Shimane,Shimane,1852442,JP,36,岛根县
JP.35,Shiga,Shiga,1852553,JP,35,滋贺县
JP.34,Saitama,Saitama,1853226,JP,34,埼玉县
JP.33,Saga,Saga,1853299,JP,33,佐贺县
JP.32,Osaka,Osaka,1853904,JP,32,大阪府
JP.47,Okinawa,Okinawa,1854345,JP,47,冲绳县
JP.31,Okayama,Okayama,1854381,JP,31,冈山县
JP.30,Oita,Oita,1854484,JP,30,大分县
JP.29,Niigata,Niigata,1855429,JP,29,新潟县
JP.28,Nara,Nara,1855608,JP,28,奈良县
JP.27,Nagasaki,Nagasaki,1856156,JP,27,长崎县
JP.26,Nagano,Nagano,1856210,JP,26,长野县
JP.25,Miyazaki,Miyazaki,1856710,JP,25,宫崎县
JP.23,Mie,Mie,1857352,JP,23,三重县
JP.22,Kyoto,Kyoto,1857907,JP,22,京都府
JP.21,Kumamoto,Kumamoto,1858419,JP,21,熊本县
JP.20,Kochi,Kochi,1859133,JP,20,高知县
JP.19,Kanagawa,Kanagawa,1860291,JP,19,神奈川县
JP.18,Kagoshima,Kagoshima,1860825,JP,18,鹿儿岛县
JP.17,Kagawa,Kagawa,1860834,JP,17,香川县
JP.15,Ishikawa,Ishikawa,1861387,JP,15,石川县
JP.13,Hyōgo,Hyogo,1862047,JP,13,兵库县
JP.11,Hiroshima,Hiroshima,1862413,JP,11,广岛县
JP.10,Gunma,Gunma,1863501,JP,10,群马县
JP.09,Gifu,Gifu,1863640,JP,9,岐阜县
JP.07,Fukuoka,Fukuoka,1863958,JP,7,福冈县
JP.06,Fukui,Fukui,1863983,JP,6,福井县
JP.05,Ehime,Ehime,1864226,JP,5,爱媛县
JP.01,Aichi,Aichi,1865694,JP,1,爱知县
JP.44,Yamagata,Yamagata,2110554,JP,44,山形县
JP.24,Miyagi,Miyagi,2111888,JP,24,宫城县
JP.16,Iwate,Iwate,2112518,JP,16,岩手县
JP.14,Ibaraki,Ibaraki,2112669,JP,14,茨城县
JP.08,Fukushima,Fukushima,2112922,JP,8,福岛县
JP.04,Chiba,Chiba,2113014,JP,4,千叶县
JP.02,Akita,Akita,2113124,JP,2,秋田县
JP.12,Hokkaido,Hokkaido,2130037,JP,12,北海道
JP.03,Aomori,Aomori,2130656,JP,3,青森县
