code,name,name_ascii,geonameid,iso,id,name_cn
KE.55,West Pokot County,West Pokot County,178145,KE,55,西波克特郡
KE.54,Wajir County,Wajir County,178440,KE,54,瓦吉爾郡
KE.52,Uasin Gishu County,Uasin Gishu County,178837,KE,52,瓦辛基苏郡
KE.51,Turkana County,Turkana County,178914,KE,51,圖爾卡納郡
KE.50,Trans Nzoia,Trans Nzoia,179068,KE,50,
KE.49,Tharaka - Nithi,Tharaka - Nithi,179380,KE,49,
KE.48,Tana River County,Tana River County,179585,KE,48,塔納河郡
KE.46,Siaya County,Siaya County,180320,KE,46,夏亞郡
KE.45,Samburu County,Samburu County,180782,KE,45,桑布盧郡
KE.05,Nairobi County,Nairobi County,184742,KE,5,内罗毕郡
KE.38,Murang'A,Murang'A,185578,KE,38,
KE.37,Mombasa County,Mombasa County,186298,KE,37,蒙巴萨县
KE.35,Meru County,Meru County,186824,KE,35,梅魯郡
KE.34,Marsabit County,Marsabit County,187583,KE,34,馬薩比特郡
KE.33,Mandera County,Mandera County,187895,KE,33,曼德拉郡
KE.29,Laikipia,Laikipia,189794,KE,29,莱基皮亚郡
KE.28,Kwale County,Kwale County,190106,KE,28,夸莱郡
KE.27,Kitui County,Kitui County,191037,KE,27,基圖伊郡
KE.26,Kisumu County,Kisumu County,191242,KE,26,基蘇木郡
KE.25,Kisii County,Kisii County,191298,KE,25,基西郡
KE.24,Kirinyaga County,Kirinyaga County,191420,KE,24,基里尼亚加郡
KE.23,Kilifi County,Kilifi County,192064,KE,23,基利菲县
KE.22,Kiambu County,Kiambu County,192709,KE,22,基安布郡
KE.21,Kericho County,Kericho County,192898,KE,21,凱里喬郡
KE.20,Kakamega County,Kakamega County,195271,KE,20,卡卡梅加郡
KE.18,Isiolo County,Isiolo County,196228,KE,18,伊希約洛郡
KE.16,Garissa County,Garissa County,197744,KE,16,加里薩郡
KE.15,Embu County,Embu County,198474,KE,15,恩布郡
KE.13,Busia County,Busia County,199987,KE,13,布希亞郡
KE.12,Bungoma County,Bungoma County,200066,KE,12,邦戈馬郡
KE.10,Baringo,Baringo,200573,KE,10,巴林戈郡
KE.43,Nyandarua County,Nyandarua County,7603036,KE,43,年達魯阿郡
KE.53,Vihiga County,Vihiga County,7667638,KE,53,维希加县
KE.30,Lamu,Lamu,7667643,KE,30,
KE.31,Machakos County,Machakos County,7667644,KE,31,馬查科斯郡
KE.32,Makueni County,Makueni County,7667645,KE,32,馬瓜尼郡
KE.14,Elegeyo-Marakwet,Marakwet District,7667646,KE,14,
KE.47,Taita Taveta,Taita Taveta,7667652,KE,47,
KE.19,Kajiado County,Kajiado County,7667657,KE,19,卡耶亞多郡
KE.44,Nyeri County,Nyeri County,7667661,KE,44,涅里郡
KE.17,Homa Bay County,Homa Bay County,7667665,KE,17,霍馬灣郡
KE.11,Bomet County,Bomet County,7667666,KE,11,博美特郡
KE.36,Migori County,Migori County,7667678,KE,36,米戈利郡
KE.39,Nakuru County,Nakuru County,7668902,KE,39,納庫魯郡
KE.41,Narok County,Narok County,7668904,KE,41,納羅克郡
KE.42,Nyamira county,Nyamira county,7806857,KE,42,尼亞米拉郡
KE.40,Nandi,Nandi,8051212,KE,40,
