code,name,name_ascii,geonameid,iso,id,name_cn
KH.12,Pursat,Pursat,1821301,KH,12,菩萨省
KH.29,Battambang,Battambang,1821310,KH,29,马德望省
KH.19,Takeo,Takeo,1821939,KH,19,
KH.18,Svay Rieng,Svay Rieng,1821992,KH,18,柴桢省
KH.17,Stung Treng,Stung Treng,1822028,KH,17,上丁省
KH.27,Ŏtâr Méanchey,Otar Meanchey,1822210,KH,27,
KH.24,Siem Reap,Siem Reap,1822213,KH,24,
KH.23,Ratanakiri,Ratanakiri,1822449,KH,23,腊塔纳基里省
KH.14,Prey Veng,Prey Veng,1822609,KH,14,波萝勉省
KH.13,Preah Vihear,Preah Vihear,1822676,KH,13,柏威夏省
KH.22,Phnom Penh,Phnom Penh,1830103,KH,22,
KH.30,Pailin,Pailin,1830206,KH,30,拜林省
KH.10,Mondolkiri,Mondolkiri,1830306,KH,10,
KH.09,Kratie,Kratie,1830563,KH,9,
KH.26,Kep,Kep,1830937,KH,26,白馬市
KH.08,Koh Kong,Koh Kong,1831037,KH,8,戈公省
KH.07,Kandal,Kandal,1831095,KH,7,干丹省
KH.21,Kampot,Kampot,1831111,KH,21,贡布省
KH.05,Kampong Thom,Kampong Thom,1831124,KH,5,磅同省
KH.04,Kampong Speu Province,Kampong Speu Province,1831132,KH,4,磅士卑省
KH.03,Kampong Chhnang,Kampong Chhnang,1831166,KH,3,磅清扬省
KH.02,Kampong Cham,Kampong Cham,1831172,KH,2,磅湛省
KH.28,Preah Sihanouk,Preah Sihanouk,1899262,KH,28,西哈努克市
KH.25,Banteay Meanchey,Banteay Meanchey,1899273,KH,25,班迭棉吉省
KH.31,Tboung Khmum,Tboung Khmum,7647525,KH,31,
