code,name,name_ascii,geonameid,iso,id,name_cn
KN.15,Trinity Palmetto Point,Trinity Palmetto Point,3575114,KN,15,
KN.13,Middle Island,Middle Island,3575164,KN,13,
KN.12,Saint Thomas Lowland,Saint Thomas Lowland,3575165,KN,12,
KN.11,Saint Peter Basseterre,Saint Peter Basseterre,3575168,KN,11,
KN.10,Saint Paul Charlestown,Saint Paul Charlestown,3575171,KN,10,
KN.09,Saint Paul Capesterre,Saint Paul Capesterre,3575172,KN,9,
KN.08,Saint Mary Cayon,Saint Mary Cayon,3575173,KN,8,
KN.07,Saint John Figtree,Saint John Figtree,3575175,KN,7,
KN.06,Saint John Capesterre,Saint John Capesterre,3575176,KN,6,
KN.05,Saint James Windwa,Saint James Windwa,3575177,KN,5,
KN.04,Saint George Gingerland,Saint George Gingerland,3575179,KN,4,
KN.03,Saint George Basseterre,Saint George Basseterre,3575180,KN,3,
KN.02,Saint Anne Sandy Point,Saint Anne Sandy Point,3575183,KN,2,
KN.01,Christ Church Nichola Town,Christ Church Nichola Town,3575476,KN,1,
