code,name,name_ascii,geonameid,iso,id,name_cn
KP.12,Pyongyang,Pyongyang,1871856,KP,12,
KP.15,South Pyongan,South Pyongan,1871952,KP,15,
KP.11,P'yŏngan-bukto,P'yongan-bukto,1871954,KP,11,
KP.09,Kangwŏn-do,Kangwon-do,1876101,KP,9,
KP.06,South Hwanghae,South Hwanghae,1876884,KP,6,
KP.07,North Hwanghae,North Hwanghae,1876888,KP,7,
KP.03,South Hamgyong,South Hamgyong,1877450,KP,3,
KP.13,Yanggang-do,Yanggang-do,2039332,KP,13,
KP.17,North Hamgyong,North Hamgyong,2044245,KP,17,
KP.01,Chagang,Chagang,2045265,KP,1,
KP.18,Rason,Rason,2054927,KP,18,罗先市
KP.14,Nampo,Nampo,12902702,KP,14,
KP.19,Kaesong,Kaesong,12902703,KP,19,
