code,name,name_ascii,geonameid,iso,id,name_cn
KR.21,Ulsan,Ulsan,1833742,KR,21,
KR.19,Daejeon,Daejeon,1835224,KR,19,
KR.15,Daegu,Daegu,1835327,KR,15,
KR.11,Seoul,Seoul,1835847,KR,11,首尔
KR.10,Busan,Busan,1838519,KR,10,釜山市
KR.14,Gyeongsangbuk-do,Gyeongsangbuk-do,1841597,KR,14,
KR.13,Gyeonggi-do,Gyeonggi-do,1841610,KR,13,京畿
KR.18,Gwangju,Gwangju,1841808,KR,18,光州市
KR.06,Gangwon-do,Gangwon-do,1843125,KR,6,
KR.12,Incheon,Incheon,1843561,KR,12,
KR.17,Chungcheongnam-do,Chungcheongnam-do,1845105,KR,17,
KR.05,North Chungcheong,North Chungcheong,1845106,KR,5,
KR.16,Jeollanam-do,Jeollanam-do,1845788,KR,16,
KR.03,Jeollabuk-do,Jeollabuk-do,1845789,KR,3,
KR.01,Jeju-do,Jeju-do,1846265,KR,1,
KR.20,Gyeongsangnam-do,Gyeongsangnam-do,1902028,KR,20,
KR.22,Sejong-si,Sejong-si,8394437,KR,22,
