code,name,name_ascii,geonameid,iso,id,name_cn
KZ.07,Batys Qazaqstan,Batys Qazaqstan,607847,KZ,7,
KZ.09,Mangghystaū,Mangghystau,608879,KZ,9,
KZ.06,Atyrau Oblisi,Atyrau Oblisi,609862,KZ,6,
KZ.04,Aktyubinskaya Oblast’,Aktyubinskaya Oblast',610688,KZ,4,
KZ.15,East Kazakhstan,East Kazakhstan,1517381,KZ,15,
KZ.03,Aqmola,Aqmola,1518003,KZ,3,
KZ.16,North Kazakhstan,North Kazakhstan,1519367,KZ,16,
KZ.11,Pavlodar Region,Pavlodar Region,1520239,KZ,11,巴甫洛达尔州
KZ.14,Qyzylorda,Qyzylorda,1521406,KZ,14,
KZ.13,Qostanay,Qostanay,1521671,KZ,13,
KZ.12,Karaganda,Karaganda,1523401,KZ,12,卡拉干达州
KZ.17,Zhambyl,Zhambyl,1524444,KZ,17,
KZ.10,Turkistan,Turkistan,1524787,KZ,10,
KZ.02,Almaty,Almaty,1526395,KZ,2,
KZ.01,Almaty Oblysy,Almaty Oblysy,1537162,KZ,1,
KZ.1537272,Shymkent,Shymkent,1537272,KZ,1537272,
KZ.08,Baikonur,Baikonur,1538316,KZ,8,
KZ.05,Astana,Astana,1538317,KZ,5,
KZ.12510143,Abai Region,Abai Region,12510143,KZ,12510143,
KZ.12510144,Jetisu Region,Jetisu Region,12510144,KZ,12510144,
KZ.12510145,Ulytau Region,Ulytau Region,12510145,KZ,12510145,
