code,name,name_ascii,geonameid,iso,id,name_cn
LA.14,Xiangkhoang,Xiangkhoang,1652077,LA,14,
LA.13,Xiagnabouli,Xiagnabouli,1652210,LA,13,
LA.27,Vientiane,Vientiane,1652238,LA,27,万象省
LA.20,Savannakhet Province,Savannakhet Province,1653315,LA,20,沙湾拿吉省
LA.19,Salavan Province,Salavan Province,1653333,LA,19,沙拉湾省
LA.18,Phôngsali,Phongsali,1653893,LA,18,
LA.07,Oudômxai,Oudomxai,1654491,LA,7,
LA.17,Luang Prabang Province,Luang Prabang Province,1655558,LA,17,琅勃拉邦省
LA.16,Loungnamtha,Loungnamtha,1655561,LA,16,
LA.15,Khammouane Province,Khammouane Province,1656538,LA,15,甘蒙省
LA.03,Houaphan,Houaphan,1657114,LA,3,
LA.02,Champasak Province,Champasak Province,1657818,LA,2,占巴塞省
LA.01,Attapu,Attapu,1665045,LA,1,
LA.26,Xékong,Xekong,1904615,LA,26,
LA.22,Bokeo,Bokeo,1904616,LA,22,博胶省
LA.23,Bolikhamsai,Bolikhamsai,1904617,LA,23,博利坎赛省
LA.24,Vientiane Prefecture,Vientiane Prefecture,1904618,LA,24,永珍地区
LA.28,Xaisomboun,Xaisomboun,11395958,LA,28,
