code,name,name_ascii,geonameid,iso,id,name_cn
LR.10,Sinoe County,Sinoe County,2273898,LR,10,锡诺县
LR.09,Nimba,Nimba,2274688,LR,9,宁巴县
LR.14,Montserrado County,Montserrado County,2274890,LR,14,蒙特塞拉多县
LR.13,Maryland County,Maryland County,2275099,LR,13,马里兰县
LR.20,Lofa County,Lofa County,2275344,LR,20,洛法县
LR.19,Grand Gedeh County,Grand Gedeh County,2276622,LR,19,大吉德县
LR.12,Grand Cape Mount County,Grand Cape Mount County,2276627,LR,12,大角山县
LR.11,Grand Bassa County,Grand Bassa County,2276630,LR,11,大巴萨县
LR.01,Bong County,Bong County,2278292,LR,1,邦县
LR.15,Bomi County,Bomi County,2278324,LR,15,伯米县
LR.16,Grand Kru County,Grand Kru County,2588490,LR,16,大克鲁县
LR.17,Margibi County,Margibi County,2588491,LR,17,马吉比县
LR.18,River Cess County,River Cess County,2588492,LR,18,里弗塞斯县
LR.21,Gbarpolu County,Gbarpolu County,2593119,LR,21,巴波卢县
LR.22,River Gee County,River Gee County,2593120,LR,22,吉河县
