code,name,name_ascii,geonameid,iso,id,name_cn
LS.19,Thaba-Tseka,Thaba-Tseka,932011,LS,19,塔巴-采卡区
LS.18,Quthing,Quthing,932184,LS,18,古廷区
LS.17,Qacha's Nek District,Qacha's Nek District,932219,LS,17,加查斯内克区
LS.16,Mokhotlong District,Mokhotlong District,932418,LS,16,莫霍特隆区
LS.15,Mohale's Hoek District,Mohale's Hoek District,932439,LS,15,莫哈莱斯胡克区
LS.14,Maseru District,Maseru District,932506,LS,14,马塞卢区
LS.13,Mafeteng District,Mafeteng District,932615,LS,13,马费滕区
LS.12,Leribe,Leribe,932700,LS,12,莱里贝区
LS.11,Butha-Buthe,Butha-Buthe,932888,LS,11,布塔-布泰区
LS.10,Berea,Berea,932932,LS,10,伯里亚区
