code,name,name_ascii,geonameid,iso,id,name_cn
LU.WI,Wiltz,Wiltz,2959975,LU,WI,
LU.VD,Vianden,Vianden,2960020,LU,VD,
LU.RM,Remich,Remich,2960152,LU,RM,
LU.RD,Redange,Redange,2960161,LU,RD,
LU.ME,Mersch,Mersch,2960275,LU,ME,
LU.LU,Luxembourg,Luxembourg,2960315,LU,LU,
LU.GR,Grevenmacher,Grevenmacher,2960514,LU,GR,
LU.ES,Esch-sur-Alzette,Esch-sur-Alzette,2960599,LU,ES,
LU.EC,Echternach,Echternach,2960629,LU,EC,
LU.DI,Diekirch,Diekirch,2960656,LU,DI,
LU.CL,Clervaux,Clervaux,2960683,LU,CL,
LU.CA,Capellen,Capellen,2960696,LU,CA,
