code,name,name_ascii,geonameid,iso,id,name_cn
LV.33,Ventspils Municipality,Ventspils Municipality,454307,LV,33,文茨皮爾斯市鎮
LV.32,Ventspils,Ventspils,454311,LV,32,文茨皮尔斯
LV.31,Valmiera,Valmiera,454564,LV,31,
LV.30,Valka,Valka,454571,LV,30,瓦爾卡市鎮
LV.29,Tukums Municipality,Tukums Municipality,454771,LV,29,圖庫姆斯市鎮
LV.28,Talsi Municipality,Talsi Municipality,454968,LV,28,
LV.27,Saldus Rajons,Saldus Rajons,455888,LV,27,
LV.25,Riga,Riga,456173,LV,25,
LV.24,Rēzekne Municipality,Rezekne Municipality,456197,LV,24,
LV.23,Rēzekne,Rezekne,456203,LV,23,
LV.22,Preiļu novads,Preilu novads,456528,LV,22,
LV.21,Ogre,Ogre,457061,LV,21,奧格雷市鎮
LV.20,Madona Municipality,Madona Municipality,457712,LV,20,
LV.19,Ludza Municipality,Ludza Municipality,457773,LV,19,
LV.18,Limbaži Municipality,Limbazi Municipality,457889,LV,18,
LV.16,Liepāja,Liepaja,457955,LV,16,利耶帕亚
LV.15,Kuldīga Municipality,Kuldiga Municipality,458459,LV,15,
LV.14,Krāslava Municipality,Kraslava Municipality,458621,LV,14,
LV.13,Jūrmala,Jurmala,459202,LV,13,
LV.12,Jelgava Municipality,Jelgava Municipality,459278,LV,12,
LV.11,Jelgava,Jelgava,459281,LV,11,叶尔加瓦
LV.10,Jēkabpils Municipality,Jekabpils Municipality,459282,LV,10,
LV.09,Gulbene Municipality,Gulbene Municipality,459664,LV,09,古爾貝內市鎮
LV.08,Dobele Municipality,Dobele Municipality,460311,LV,08,
LV.06,Daugavpils,Daugavpils,460414,LV,06,陶格夫匹尔斯
LV.05,Cēsis Municipality,Cesis Municipality,460569,LV,05,采西斯市鎮
LV.04,Bauska Municipality,Bauska Municipality,461112,LV,04,
LV.03,Balvi Municipality,Balvi Municipality,461160,LV,03,
LV.02,Alūksne Municipality,Aluksne Municipality,461525,LV,02,阿盧克斯內市鎮
LV.01,Aizkraukle Municipality,Aizkraukle Municipality,461613,LV,01,
LV.95,Mārupe,Marupe,7628319,LV,95,
LV.A2,Olaine,Olaine,7628320,LV,A2,奧萊內市鎮
LV.80,Ķekava,Kekava,7628322,LV,80,基耶卡瓦市镇
LV.C3,Salaspils Municipality,Salaspils Municipality,7628323,LV,C3,薩拉斯皮爾斯市鎮
LV.34,Ādaži,Adazi,7628327,LV,34,
LV.90,Līvāni,Livani,7628341,LV,90,利瓦尼市鎮
LV.E1,Varakļāni Municipality,Varaklani Municipality,7628342,LV,E1,瓦拉克利亚尼市镇
LV.B5,Ropaži Municipality,Ropazi Municipality,7628359,LV,B5,羅帕日市鎮
LV.C7,Sigulda Municipality,Sigulda Municipality,7628362,LV,C7,
LV.C5,Saulkrasti Municipality,Saulkrasti Municipality,7628366,LV,C5,
LV.D1,Smiltene Municipality,Smiltene Municipality,7628380,LV,D1,
LV.DN,South Kurzeme Municipality,South Kurzeme Municipality,12276857,LV,DN,南库尔泽梅市镇
LV.AN,Augšdaugava Municipality,Augsdaugava Municipality,12276858,LV,AN,上道加瓦市镇
