code,name,name_ascii,geonameid,iso,id,name_cn
LY.70,Darnah,Darnah,87204,LY,70,
LY.69,Banghāzī,Banghazi,88318,LY,69,
LY.66,Al Marj,Al Marj,88904,LY,66,
LY.65,Al Kufrah,Al Kufrah,88932,LY,65,库夫拉省
LY.63,Al Jabal al Akhḑar,Al Jabal al Akhdar,443289,LY,63,
LY.77,Tripoli,Tripoli,2210245,LY,77,
LY.76,Surt,Surt,2210553,LY,76,
LY.75,Sabha District,Sabha District,2212774,LY,75,塞卜哈省
LY.74,Nālūt,Nalut,2214432,LY,74,
LY.73,Murzuq District,Murzuq District,2214602,LY,73,穆尔祖格省
LY.72,Mişrātah,Misratah,2214845,LY,72,
LY.71,Ghāt,Ghat,2217350,LY,71,
LY.68,Az Zāwiyah,Az Zawiyah,2218972,LY,68,
LY.78,Ash Shāţiʼ,Wadi ash Shati',2219413,LY,78,
LY.64,Al Jufrah,Al Jufrah,2219944,LY,64,朱夫拉省
LY.67,An Nuqāţ al Khams,An Nuqat al Khams,2593778,LY,67,
LY.79,Al Buţnān,Al Butnan,7602688,LY,79,
LY.80,Jabal al Gharbi,Jabal al Gharbi,7602689,LY,80,西山省
LY.81,Al Jafārah,Al Jafarah,7602690,LY,81,
LY.82,Al Marqab,Al Marqab,7602691,LY,82,
LY.83,Al Wāḩāt,Al Wahat,7602692,LY,83,
LY.84,Wādī al Ḩayāt,Wadi al Hayat,7602693,LY,84,
