code,name,name_ascii,geonameid,iso,id,name_cn
MA.01,Tanger-Tetouan-Al Hoceima,Tanger-Tetouan-Al Hoceima,11281874,MA,1,
MA.02,Oriental,Oriental,11281875,MA,2,东部大区
MA.03,Fès-Meknès,Fes-Meknes,11281876,MA,3,
MA.04,Rabat-Salé-Kénitra,Rabat-Sale-Kenitra,11281877,MA,4,
MA.05,Béni Mellal-Khénifra,Beni Mellal-Khenifra,11281878,MA,5,
MA.06,Casablanca-Settat,Casablanca-Settat,11281879,MA,6,
MA.07,Marrakesh-Safi,Marrakesh-Safi,11281880,MA,7,
MA.08,Drâa-Tafilalet,Draa-Tafilalet,11281881,MA,8,
MA.09,Souss-Massa,Souss-Massa,11281882,MA,9,
MA.10,Guelmim-Oued Noun,Guelmim-Oued Noun,11281884,MA,10,
MA.11,Laâyoune-Sakia El Hamra,Laayoune-Sakia El Hamra,11281885,MA,11,
MA.12,Dakhla-Oued Ed-Dahab,Dakhla-Oued Ed-Dahab,11281886,MA,12,
