code,name,name_ascii,geonameid,iso,id,name_cn
MD.73,Raionul Edineţ,Raionul Edinet,617077,MD,73,
MD.92,Ungheni,Ungheni,617181,MD,92,溫格內區
MD.91,Teleneşti,Telenesti,617255,MD,91,泰莱内什蒂区
MD.90,Taraclia,Taraclia,617264,MD,90,塔拉克利亚区
MD.88,Ştefan-Vodă,Stefan-Voda,617283,MD,88,
MD.89,Strășeni,Straseni,617301,MD,89,斯特勒谢尼区
MD.87,Soroca District,Soroca District,617366,MD,87,索罗卡区
MD.84,Rîşcani,Riscani,617483,MD,84,雷什卡内区
MD.83,Rezina,Rezina,617501,MD,83,雷济纳区
MD.82,Orhei,Orhei,617639,MD,82,奧爾海伊區
MD.81,Raionul Ocniţa,Raionul Ocnita,617656,MD,81,
MD.59,Anenii Noi,Anenii Noi,617715,MD,59,新阿内尼区
MD.80,Nisporeni,Nisporeni,617754,MD,80,尼斯波雷尼区
MD.79,Leova,Leova,617903,MD,79,莱奥瓦区
MD.85,Sîngerei,Singerei,617913,MD,85,森杰雷区
MD.69,Criuleni,Criuleni,617962,MD,69,克留莱尼区
MD.78,Ialoveni,Ialoveni,617991,MD,78,亚洛韦尼区
MD.57,Chișinău Municipality,Chisinau Municipality,618069,MD,57,
MD.67,Căuşeni,Causeni,618119,MD,67,
MD.65,Cantemir,Cantemir,618142,MD,65,冈代米尔区
MD.66,Călăraşi,Calarasi,618162,MD,66,
MD.64,Cahul,Cahul,618164,MD,64,卡胡尔区
MD.76,Glodeni,Glodeni,618260,MD,76,格洛代尼区
MD.75,Floreşti,Floresti,618331,MD,75,弗洛雷什蒂区
MD.74,Fălești,Falesti,618345,MD,74,弗莱什蒂区
MD.72,Dubăsari District,Dubasari District,618363,MD,72,杜伯萨里区
MD.71,Drochia,Drochia,618369,MD,71,
MD.70,Donduşeni,Donduseni,618381,MD,70,栋杜谢尼区
MD.68,Cimişlia,Cimislia,618430,MD,68,奇米什利亚区
MD.63,Briceni,Briceni,618511,MD,63,布里切尼区
MD.61,Basarabeasca,Basarabeasca,618565,MD,61,巴萨拉贝亚斯卡区
MD.77,Hînceşti,Hincesti,858803,MD,77,亨切什蒂区
MD.86,Şoldăneşti,Soldanesti,858808,MD,86,绍尔德内什蒂区
MD.58,Transnistria,Transnistria,858889,MD,58,德涅斯特河沿岸自治领土单位
MD.51,Gagauzia,Gagauzia,858895,MD,51,加告兹自治区
MD.62,Bender Municipality,Bender Municipality,861487,MD,62,
MD.60,Bălţi,Balti,873909,MD,60,
