code,name,name_ascii,geonameid,iso,id,name_cn
ME.17,Rožaje Municipality,Rozaje Municipality,786233,ME,17,羅扎耶市鎮
ME.21,Opština Žabljak,Opstina Zabljak,3186995,ME,21,
ME.20,Ulcinj,Ulcinj,3188514,ME,20,
ME.19,Tivat,Tivat,3189071,ME,19,
ME.16,Podgorica,Podgorica,3189077,ME,16,
ME.18,Opština Šavnik,Opstina Savnik,3191221,ME,18,
ME.15,Opština Plužine,Opstina Pluzine,3193129,ME,15,
ME.14,Pljevlja,Pljevlja,3193160,ME,14,
ME.13,Opština Plav,Opstina Plav,3193227,ME,13,
ME.12,Opština Nikšić,Opstina Niksic,3194493,ME,12,
ME.11,Mojkovac,Mojkovac,3194925,ME,11,莫伊科瓦茨
ME.10,Kotor,Kotor,3197537,ME,10,科托爾
ME.09,Opština Kolašin,Opstina Kolasin,3197895,ME,9,
ME.03,Berane,Berane,3199070,ME,3,
ME.08,Herceg Novi,Herceg Novi,3199393,ME,8,新海尔采格
ME.07,Danilovgrad,Danilovgrad,3202193,ME,7,
ME.06,Cetinje,Cetinje,3202640,ME,6,
ME.05,Budva,Budva,3203104,ME,5,
ME.04,Bijelo Polje,Bijelo Polje,3204173,ME,4,比耶洛波列
ME.02,Bar,Bar,3204508,ME,2,
ME.01,Andrijevica,Andrijevica,3343959,ME,1,
ME.22,Gusinje Municipality,Gusinje Municipality,11497642,ME,22,古西涅市鎮
ME.23,Petnjica Municipality,Petnjica Municipality,11497643,ME,23,佩特尼察市鎮
ME.24,Tuzi Municipality,Tuzi Municipality,12104729,ME,24,图齐市镇
ME.25,Zeta,Zeta,12640530,ME,25,
