code,name,name_ascii,geonameid,iso,id,name_cn
MG.71,Diana,Diana,7670842,MG,71,
MG.72,Sava,Sava,7670846,MG,72,
MG.42,Sofia,Sofia,7670847,MG,42,
MG.32,Analanjirofo,Analanjirofo,7670848,MG,32,
MG.41,Boeny,Boeny,7670849,MG,41,
MG.43,Betsiboka,Betsiboka,7670850,MG,43,
MG.33,Alaotra Mangoro,Alaotra Mangoro,7670851,MG,33,
MG.44,Melaky,Melaky,7670852,MG,44,
MG.14,Bongolava,Bongolava,7670853,MG,14,
MG.12,Vakinankaratra,Vakinankaratra,7670854,MG,12,
MG.13,Itasy,Itasy,7670855,MG,13,
MG.11,Analamanga,Analamanga,7670856,MG,11,
MG.31,Atsinanana,Atsinanana,7670857,MG,31,
MG.54,Menabe,Menabe,7670902,MG,54,
MG.22,Amoron'i Mania,Amoron'i Mania,7670904,MG,22,
MG.21,Upper Matsiatra,Upper Matsiatra,7670905,MG,21,
MG.24,Ihorombe,Ihorombe,7670907,MG,24,
MG.25,Atsimo-Atsinanana,Atsimo-Atsinanana,7670908,MG,25,
MG.53,Anosy,Anosy,7670910,MG,53,
MG.52,Androy,Androy,7670911,MG,52,
MG.51,Atsimo-Andrefana,Atsimo-Andrefana,7670913,MG,51,
MG.26,Fitovinany Region,Fitovinany Region,12494965,MG,26,
MG.27,Vatovavy Region,Vatovavy Region,12494968,MG,27,
