code,name,name_ascii,geonameid,iso,id,name_cn
MK.E9,Valandovo,Valandovo,784732,MK,E9,瓦兰多沃市镇
MK.86,Resen,Resen,786339,MK,86,雷森市镇
MK.51,Kratovo,Kratovo,789090,MK,51,
MK.78,Pehchevo,Pehchevo,862938,MK,78,
MK.72,Novo Selo,Novo Selo,862945,MK,72,
MK.11,Bosilovo,Bosilovo,862946,MK,11,博西洛沃市镇
MK.A9,Vasilevo,Vasilevo,862947,MK,A9,
MK.E5,Dojran,Dojran,862949,MK,E5,
MK.08,Bogdanci,Bogdanci,862950,MK,08,波格丹齐市镇
MK.47,Konche,Konche,862953,MK,47,
MK.62,Makedonska Kamenica,Makedonska Kamenica,862956,MK,62,马其顿卡梅尼察市镇
MK.C6,Zrnovci,Zrnovci,862958,MK,C6,兹尔诺夫齐市镇
MK.40,Karbinci,Karbinci,862960,MK,40,卡尔宾齐市镇
MK.25,Demir Kapija,Demir Kapija,862961,MK,25,
MK.87,Rosoman,Rosoman,862973,MK,87,罗索曼市镇
MK.35,Gradsko,Gradsko,862974,MK,35,格拉德斯科市镇
MK.60,Lozovo,Lozovo,862975,MK,60,洛佐沃市镇
MK.19,Češinovo-Obleševo,Cesinovo-Oblesevo,862977,MK,19,切希诺沃-奥布莱舍沃区
MK.E1,Novaci,Novaci,863468,MK,E1,
MK.04,Berovo,Berovo,863485,MK,04,
MK.06,Bitola,Bitola,863486,MK,06,
MK.D9,Mogila,Mogila,863488,MK,D9,
MK.01,Arachinovo,Arachinovo,863831,MK,01,
MK.C7,Bogovinje,Bogovinje,863834,MK,C7,
MK.12,Brvenica,Brvenica,863835,MK,12,布尔韦尼察区
MK.C9,Chashka,Chashka,863838,MK,C9,查什卡市镇
MK.18,Centar Zhupa,Centar Zhupa,863841,MK,18,
MK.20,Chucher Sandevo,Chucher Sandevo,863842,MK,20,
MK.D2,Debar,Debar,863843,MK,D2,
MK.22,Delchevo,Delchevo,863844,MK,22,
MK.D3,Demir Hisar,Demir Hisar,863846,MK,D3,
MK.28,Dolneni,Dolneni,863849,MK,28,多尔内尼市镇
MK.33,Gevgelija,Gevgelija,863854,MK,33,
MK.D4,Gostivar,Gostivar,863855,MK,D4,戈斯蒂瓦尔
MK.36,Ilinden,Ilinden,863856,MK,36,伊林登市镇
MK.D5,Jegunovce,Jegunovce,863858,MK,D5,耶古诺夫采区
MK.D6,Kavadarci,Kavadarci,863861,MK,D6,
MK.43,Kichevo,Kichevo,863862,MK,43,
MK.46,Kochani,Kochani,863865,MK,46,
MK.52,Kriva Palanka,Kriva Palanka,863869,MK,52,
MK.53,Krivogashtani,Krivogashtani,863870,MK,53,
MK.54,Krushevo,Krushevo,863871,MK,54,
MK.D7,Kumanovo,Kumanovo,863873,MK,D7,
MK.59,Lipkovo,Lipkovo,863875,MK,59,
MK.D8,Makedonski Brod,Makedonski Brod,863877,MK,D8,
MK.69,Negotino,Negotino,863881,MK,69,
MK.E2,Ohrid,Ohrid,863883,MK,E2,
MK.79,Petrovec,Petrovec,863886,MK,79,
MK.80,Plasnica,Plasnica,863887,MK,80,普拉斯尼察市镇
MK.E3,Prilep,Prilep,863888,MK,E3,
MK.83,Probishtip,Probishtip,863889,MK,83,
MK.84,Radovish,Radovish,863890,MK,84,
MK.85,Rankovce,Rankovce,863891,MK,85,
MK.E4,Mavrovo and Rostuša,Mavrovo and Rostusa,863892,MK,E4,马夫罗沃和罗斯图沙市镇
MK.92,Sopište,Sopiste,863896,MK,92,
MK.97,Staro Nagorichane,Staro Nagorichane,863899,MK,97,
MK.98,Shtip,Shtip,863900,MK,98,
MK.E6,Struga,Struga,863901,MK,E6,
MK.E7,Strumica,Strumica,863902,MK,E7,
MK.A2,Studenichani,Studenichani,863903,MK,A2,
MK.A4,Sveti Nikole,Sveti Nikole,863905,MK,A4,圣尼古莱市镇
MK.A5,Tearce,Tearce,863906,MK,A5,泰阿尔采市镇
MK.E8,Tetovo,Tetovo,863907,MK,E8,
MK.F1,Veles,Veles,863909,MK,F1,
MK.B3,Vevchani,Vevchani,863911,MK,B3,
MK.B4,Vinica,Vinica,863912,MK,B4,
MK.B7,Vrapchishte,Vrapchishte,863914,MK,B7,
MK.C2,Zelenikovo,Zelenikovo,863918,MK,C2,
MK.C3,Zhelino,Zhelino,863919,MK,C3,
MK.F5,Debarca,Debarca,7056271,MK,F5,德巴尔察市镇
MK.F6,Grad Skopje,Grad Skopje,11398357,MK,F6,
