code,name,name_ascii,geonameid,iso,id,name_cn
MM.12,Tanintharyi Region,Tanintharyi Region,1293118,MM,12,德林达依
MM.11,Shan State,Shan State,1297099,MM,11,掸邦
MM.10,Sagaing Region,Sagaing Region,1298480,MM,10,实皆省
MM.17,Yangon,Yangon,1298822,MM,17,仰光省
MM.01,Rakhine,Rakhine,1298852,MM,1,
MM.16,Bago Region,Bago Region,1300463,MM,16,勃固省
MM.13,Mon,Mon,1308528,MM,13,
MM.08,Mandalay Region,Mandalay Region,1311871,MM,8,曼德勒省
MM.15,Magway,Magway,1312604,MM,15,
MM.06,Kayah State,Kayah State,1319539,MM,6,克耶邦
MM.05,Kayin State,Kayin State,1320233,MM,5,克伦邦
MM.04,Kachin State,Kachin State,1321702,MM,4,克钦邦
MM.03,Ayeyarwady,Ayeyarwady,1321850,MM,3,
MM.02,Chin State,Chin State,1327132,MM,2,钦邦
MM.18,Nay Pyi Taw,Nay Pyi Taw,8239588,MM,18,
