code,name,name_ascii,geonameid,iso,id,name_cn
MN.19,Uvs Province,Uvs Province,1514967,MN,19,乌布苏省
MN.12,Hovd,Hovd,1515696,MN,12,
MN.10,Govi-Altai Province,Govi-Altai Province,1515917,MN,10,戈壁阿尔泰省
MN.09,Dzabkhan,Dzabkhan,1516012,MN,9,
MN.03,Bayan-Ölgii Province,Bayan-OElgii Province,1516278,MN,3,
MN.02,Bayanhongor,Bayanhongor,1516290,MN,2,
MN.20,Ulaanbaatar,Ulaanbaatar,2028461,MN,20,
MN.18,Central Aimak,Central Aimak,2028849,MN,18,
MN.17,Sühbaatar,Suhbaatar,2029155,MN,17,
MN.16,Selenge Province,Selenge Province,2029432,MN,16,色楞格省
MN.15,Övörhangay,OEvoerhangay,2029546,MN,15,
MN.14,Ömnögovĭ,OEmnoegovi,2029669,MN,14,南戈壁省
MN.13,Khövsgöl Province,Khoevsgoel Province,2030469,MN,13,
MN.11,Hentiy,Hentiy,2030783,MN,11,
MN.08,Middle Govĭ,Middle Govi,2031740,MN,8,
MN.07,East Gobi Aymag,East Gobi Aymag,2031798,MN,7,东戈壁省
MN.06,East Aimak,East Aimak,2031799,MN,6,东方省
MN.21,Bulgan,Bulgan,2032199,MN,21,布尔干省
MN.01,Arkhangai Province,Arkhangai Province,2032855,MN,1,后杭爱省
MN.23,Darhan Uul,Darhan Uul,2055111,MN,23,
MN.24,Govĭ-Sumber,Govi-Sumber,2055112,MN,24,
MN.25,Orhon,Orhon,2055113,MN,25,
