code,name,name_ascii,geonameid,iso,id,name_cn
MR.06,Trarza,Trarza,2375742,MR,6,特拉扎省
MR.11,Tiris Zemmour,Tiris Zemmour,2375989,MR,11,提里斯-宰穆尔省
MR.09,Tagant,Tagant,2376551,MR,9,塔甘特省
MR.12,Inchiri,Inchiri,2378903,MR,12,因希里省
MR.02,Hodh El Gharbi,Hodh El Gharbi,2379024,MR,2,西胡德省
MR.01,Hodh Ech Chargi,Hodh Ech Chargi,2379025,MR,1,東胡德省
MR.10,Guidimaka,Guidimaka,2379216,MR,10,吉迪马卡省
MR.04,Gorgol,Gorgol,2379384,MR,4,戈尔戈勒省
MR.08,Dakhlet Nouadhibou,Dakhlet Nouadhibou,2380426,MR,8,努瓦迪布湾省
MR.05,Brakna,Brakna,2380635,MR,5,卜拉克納省
MR.03,Assaba,Assaba,2381344,MR,3,阿萨巴省
MR.07,Adrar,Adrar,2381972,MR,7,阿德拉尔省
MR.13,Nouakchott Ouest,Nouakchott Ouest,11496391,MR,13,
MR.14,Nouakchott Nord,Nouakchott Nord,11496392,MR,14,
MR.15,Nouakchott Sud,Nouakchott Sud,11496393,MR,15,
