code,name,name_ascii,geonameid,iso,id,name_cn
MT.01,Attard,Attard,8299700,MT,1,
MT.02,Balzan,Balzan,8299701,MT,2,
MT.03,Il-Birgu,Il-Birgu,8299702,MT,3,
MT.04,Birkirkara,Birkirkara,8299703,MT,4,
MT.05,Birżebbuġa,Birzebbuga,8299704,MT,5,
MT.06,Bormla,Bormla,8299705,MT,6,
MT.07,Dingli,Dingli,8299706,MT,7,
MT.08,Il-Fgura,Il-Fgura,8299707,MT,8,
MT.09,Floriana,Floriana,8299708,MT,9,
MT.10,Il-Fontana,Il-Fontana,8299709,MT,10,
MT.11,Għajnsielem,Ghajnsielem,8299710,MT,11,
MT.12,L-Għarb,L-Gharb,8299711,MT,12,
MT.13,Ħal Għargħur,Hal Gharghur,8299712,MT,13,
MT.14,L-Għasri,L-Ghasri,8299713,MT,14,
MT.15,Ħal Għaxaq,Hal Ghaxaq,8299714,MT,15,
MT.16,Il-Gudja,Il-Gudja,8299715,MT,16,
MT.17,Il-Gżira,Il-Gzira,8299716,MT,17,
MT.18,Il-Ħamrun,Il-Hamrun,8299717,MT,18,
MT.19,L-Iklin,L-Iklin,8299718,MT,19,
MT.20,L-Imdina,L-Imdina,8299719,MT,20,
MT.21,L-Imġarr,L-Imgarr,8299720,MT,21,
MT.22,L-Imqabba,L-Imqabba,8299721,MT,22,
MT.23,L-Imsida,L-Imsida,8299722,MT,23,
MT.24,Mtarfa,Mtarfa,8299723,MT,24,
MT.25,Senglea,Senglea,8299724,MT,25,
MT.26,Il-Kalkara,Il-Kalkara,8299725,MT,26,
MT.27,Ta’ Kerċem,Ta' Kercem,8299726,MT,27,
MT.28,Kirkop,Kirkop,8299727,MT,28,
MT.29,Lija,Lija,8299728,MT,29,
MT.30,Luqa,Luqa,8299729,MT,30,
MT.31,Il-Marsa,Il-Marsa,8299730,MT,31,
MT.32,Marsaskala,Marsaskala,8299731,MT,32,
MT.33,Marsaxlokk,Marsaxlokk,8299732,MT,33,
MT.34,Il-Mellieħa,Il-Mellieha,8299733,MT,34,
MT.35,Il-Mosta,Il-Mosta,8299734,MT,35,
MT.36,Il-Munxar,Il-Munxar,8299735,MT,36,
MT.37,In-Nadur,In-Nadur,8299736,MT,37,
MT.38,In-Naxxar,In-Naxxar,8299737,MT,38,
MT.39,Paola,Paola,8299738,MT,39,
MT.40,Pembroke,Pembroke,8299739,MT,40,
MT.41,Tal-Pietà,Tal-Pieta,8299740,MT,41,
MT.42,Il-Qala,Il-Qala,8299741,MT,42,
MT.43,Qormi,Qormi,8299742,MT,43,
MT.44,Il-Qrendi,Il-Qrendi,8299743,MT,44,
MT.45,Ir-Rabat,Ir-Rabat,8299744,MT,45,
MT.46,Victoria,Victoria,8299745,MT,46,
MT.47,Safi,Safi,8299746,MT,47,
MT.48,Saint John,Saint John,8299747,MT,48,
MT.49,Saint Julian,Saint Julian,8299748,MT,49,
MT.50,Saint Lawrence,Saint Lawrence,8299749,MT,50,
MT.51,Saint Lucia,Saint Lucia,8299750,MT,51,
MT.52,Saint Paul’s Bay,Saint Paul's Bay,8299751,MT,52,
MT.53,Saint Venera,Saint Venera,8299752,MT,53,
MT.54,Sannat,Sannat,8299753,MT,54,
MT.55,Is-Siġġiewi,Is-Siggiewi,8299754,MT,55,
MT.56,Tas-Sliema,Tas-Sliema,8299755,MT,56,
MT.57,Is-Swieqi,Is-Swieqi,8299756,MT,57,
MT.58,Tarxien,Tarxien,8299757,MT,58,
MT.59,Ta’ Xbiex,Ta' Xbiex,8299758,MT,59,
MT.61,Ix-Xagħra,Ix-Xaghra,8299759,MT,61,
MT.62,Ix-Xewkija,Ix-Xewkija,8299760,MT,62,
MT.63,Ix-Xgħajra,Ix-Xghajra,8299761,MT,63,
MT.64,Ħaż-Żabbar,Haz-Zabbar,8299762,MT,64,
MT.65,Ħaż-Żebbuġ,Haz-Zebbug,8299763,MT,65,
MT.66,Iż-Żebbuġ,Iz-Zebbug,8299764,MT,66,
MT.67,Iż-Żejtun,Iz-Zejtun,8299765,MT,67,
MT.68,Iż-Żurrieq,Iz-Zurrieq,8299766,MT,68,
MT.60,Valletta,Valletta,8334638,MT,60,
