code,name,name_ascii,geonameid,iso,id,name_cn
MU.21,Agalega Islands,Agalega Islands,448254,MU,21,
MU.20,Savanne,Savanne,934017,MU,20,
MU.19,Rivière du Rempart,Riviere du Rempart,934090,MU,19,
MU.18,Port Louis,Port Louis,934153,MU,18,
MU.17,Plaines Wilhems,Plaines Wilhems,934166,MU,17,
MU.16,Pamplemousses,Pamplemousses,934212,MU,16,
MU.15,Moka,Moka,934275,MU,15,
MU.14,Grand Port,Grand Port,934466,MU,14,
MU.13,Flacq,Flacq,934522,MU,13,
MU.12,Black River,Black River,934718,MU,12,
MU.22,Cargados Carajos,Cargados Carajos,1106583,MU,22,
MU.23,Rodrigues,Rodrigues,1547449,MU,23,罗德里格岛
