code,name,name_ascii,geonameid,iso,id,name_cn
MX.31,Yucatán,Yucatan,3514211,MX,31,尤卡坦州
MX.30,Veracruz,Veracruz,3514780,MX,30,韦拉克鲁斯州
MX.29,Tlaxcala,Tlaxcala,3515359,MX,29,特拉斯卡拉州
MX.28,Tamaulipas,Tamaulipas,3516391,MX,28,塔毛利帕斯州
MX.27,Tabasco,Tabasco,3516458,MX,27,塔巴斯科州
MX.23,Quintana Roo,Quintana Roo,3520887,MX,23,金塔纳罗奥州
MX.22,Querétaro,Queretaro,3520914,MX,22,克雷塔罗州
MX.21,Puebla,Puebla,3521082,MX,21,普埃布拉州
MX.20,Oaxaca,Oaxaca,3522509,MX,20,瓦哈卡州
MX.19,Nuevo León,Nuevo Leon,3522542,MX,19,新萊昂州
MX.17,Morelos,Morelos,3522961,MX,17,莫雷洛斯州
MX.15,México,Mexico,3523272,MX,15,墨西哥州
MX.13,Hidalgo,Hidalgo,3527115,MX,13,伊达尔戈州
MX.12,Guerrero,Guerrero,3527213,MX,12,格雷罗州
MX.09,Mexico City,Mexico City,3527646,MX,9,墨西哥城市
MX.05,Chiapas,Chiapas,3531011,MX,5,恰帕斯州
MX.04,Campeche,Campeche,3531730,MX,4,坎佩切州
MX.32,Zacatecas,Zacatecas,3979840,MX,32,萨卡特卡斯州
MX.26,Sonora,Sonora,3982846,MX,26,索诺拉州
MX.25,Sinaloa,Sinaloa,3983035,MX,25,锡那罗亚州
MX.24,San Luis Potosí,San Luis Potosi,3985605,MX,24,圣路易斯波托西州
MX.18,Nayarit,Nayarit,3995012,MX,18,纳亚里特州
MX.16,Michoacán,Michoacan,3995955,MX,16,米却肯州
MX.14,Jalisco,Jalisco,4004156,MX,14,哈利斯科州
MX.11,Guanajuato,Guanajuato,4005267,MX,11,瓜納華托州
MX.10,Durango,Durango,4011741,MX,10,杜兰戈州
MX.08,Colima,Colima,4013513,MX,8,科利马州
MX.07,Coahuila,Coahuila,4013674,MX,7,科阿韦拉州
MX.06,Chihuahua,Chihuahua,4014336,MX,6,奇瓦瓦州
MX.03,Baja California Sur,Baja California Sur,4017698,MX,3,南下加利福尼亚州
MX.02,Baja California,Baja California,4017700,MX,2,下加利福尼亚州
MX.01,Aguascalientes,Aguascalientes,4019231,MX,1,阿瓜斯卡连特斯州
