code,name,name_ascii,geonameid,iso,id,name_cn
MY.04,Melaka,Melaka,1733035,MY,4,
MY.13,Terengganu,Terengganu,1733036,MY,13,登嘉楼
MY.12,Selangor,Selangor,1733037,MY,12,雪兰莪
MY.11,Sarawak,Sarawak,1733038,MY,11,砂拉越
MY.16,Sabah,Sabah,1733039,MY,16,沙巴州
MY.08,Perlis,Perlis,1733040,MY,8,玻璃市
MY.07,Perak,Perak,1733041,MY,7,霹雳州
MY.06,Pahang,Pahang,1733042,MY,6,彭亨
MY.05,Negeri Sembilan,Negeri Sembilan,1733043,MY,5,森美兰
MY.03,Kelantan,Kelantan,1733044,MY,3,吉兰丹
MY.14,Kuala Lumpur,Kuala Lumpur,1733046,MY,14,
MY.09,Penang,Penang,1733047,MY,9,槟城
MY.02,Kedah,Kedah,1733048,MY,2,吉打
MY.01,Johor,Johor,1733049,MY,1,柔佛州
MY.15,Labuan,Labuan,1734240,MY,15,
MY.17,Putrajaya,Putrajaya,1996552,MY,17,布城
