code,name,name_ascii,geonameid,iso,id,name_cn
MZ.09,Zambezia Province,Zambezia Province,1024312,MZ,9,赞比西亚省
MZ.08,Tete,Tete,1026010,MZ,8,太特省
MZ.05,Sofala,Sofala,1026804,MZ,5,索法拉省
MZ.07,Niassa Province,Niassa Province,1030006,MZ,7,尼亚萨省
MZ.06,Nampula,Nampula,1033354,MZ,6,楠普拉省
MZ.04,Maputo Province,Maputo Province,1040649,MZ,4,马普托省
MZ.10,Manica,Manica,1040947,MZ,10,
MZ.03,Inhambane Province,Inhambane Province,1045110,MZ,3,伊尼扬巴内省
MZ.02,Gaza Province,Gaza Province,1046058,MZ,2,加扎省
MZ.01,Cabo Delgado Province,Cabo Delgado Province,1051823,MZ,1,德尔加杜角省
MZ.11,Maputo City,Maputo City,1105845,MZ,11,
