code,name,name_ascii,geonameid,iso,id,name_cn
NA.28,Zambezi Region,Zambezi Region,1090052,,28,卡普里维区
NA.21,Khomas Region,Khomas Region,3352137,,21,霍马斯区
NA.29,Erongo Region,Erongo Region,3371199,,29,埃龙戈区
NA.30,Hardap Region,Hardap Region,3371200,,30,哈达普区
NA.31,Karas Region,Karas Region,3371201,,31,卡拉斯区
NA.32,Kunene Region,Kunene Region,3371202,,32,库内内区
NA.33,Ohangwena Region,Ohangwena Region,3371203,,33,奥汉圭纳区
NA.35,Omaheke Region,Omaheke Region,3371205,,35,奥马海凯区
NA.36,Omusati Region,Omusati Region,3371206,,36,奥穆萨蒂区
NA.37,Oshana Region,Oshana Region,3371207,,37,奥沙纳区
NA.38,Oshikoto Region,Oshikoto Region,3371208,,38,奥希科托区
NA.39,Otjozondjupa Region,Otjozondjupa Region,3371209,,39,奥乔宗朱帕区
NA.40,Kavango East,Kavango East,8693188,,40,東卡萬戈區
NA.41,Kavango West,Kavango West,8693189,,41,西卡万戈区
