code,name,name_ascii,geonameid,iso,id,name_cn
NG.51,Sokoto,Sokoto,2322907,NG,51,
NG.50,Rivers State,Rivers State,2324433,NG,50,河流州
NG.49,Plateau State,Plateau State,2324828,NG,49,高原州
NG.32,Oyo State,Oyo State,2325190,NG,32,奥约州
NG.48,Ondo State,Ondo State,2326168,NG,48,翁多州
NG.16,Ogun State,Ogun State,2327546,NG,16,奥贡州
NG.31,Niger State,Niger State,2328925,NG,31,尼日尔州
NG.05,Lagos,Lagos,2332453,NG,5,拉各斯州
NG.30,Kwara State,Kwara State,2332785,NG,30,夸拉州
NG.24,Katsina State,Katsina State,2334797,NG,24,卡齐纳州
NG.29,Kano State,Kano State,2335196,NG,29,卡诺州
NG.23,Kaduna State,Kaduna State,2335722,NG,23,卡杜纳州
NG.28,Imo State,Imo State,2337542,NG,28,伊莫州
NG.22,Cross River State,Cross River State,2345891,NG,22,克罗斯河州
NG.27,Borno State,Borno State,2346794,NG,27,博尔诺州
NG.26,Benue State,Benue State,2347266,NG,26,贝努埃州
NG.46,Bauchi,Bauchi,2347468,NG,46,包奇州
NG.25,Anambra,Anambra,2349961,NG,25,阿南布拉州
NG.21,Akwa Ibom State,Akwa Ibom State,2350813,NG,21,阿夸伊博姆州
NG.11,FCT,FCT,2352776,NG,11,联邦首都特区
NG.45,Abia State,Abia State,2565340,NG,45,阿比亚州
NG.36,Delta,Delta,2565341,NG,36,三角州
NG.35,Adamawa,Adamawa,2565342,NG,35,阿达马瓦
NG.37,Edo State,Edo State,2565343,NG,37,埃多州
NG.47,Enugu State,Enugu State,2565344,NG,47,埃努古州
NG.39,Jigawa State,Jigawa State,2565345,NG,39,吉加瓦州
NG.52,Bayelsa State,Bayelsa State,2595344,NG,52,巴耶尔萨州
NG.53,Ebonyi State,Ebonyi State,2595345,NG,53,埃邦伊州
NG.54,Ekiti State,Ekiti State,2595346,NG,54,埃基蒂州
NG.55,Gombe State,Gombe State,2595347,NG,55,贡贝州
NG.56,Nasarawa State,Nasarawa State,2595348,NG,56,纳萨拉瓦州
NG.57,Zamfara State,Zamfara State,2595349,NG,57,扎姆法拉州
NG.40,Kebbi,Kebbi,2597363,NG,40,凯比州
NG.41,Kogi State,Kogi State,2597364,NG,41,科吉州
NG.42,Osun State,Osun State,2597365,NG,42,奥孙州
NG.43,Taraba State,Taraba State,2597366,NG,43,塔拉巴州
NG.44,Yobe State,Yobe State,2597367,NG,44,约贝州
