code,name,name_ascii,geonameid,iso,id,name_cn
NI.15,Rivas Department,Rivas Department,3617051,NI,15,里瓦斯省
NI.14,Río San Juan Department,Rio San Juan Department,3617056,NI,14,圣胡安河省
NI.13,Nueva Segovia Department,Nueva Segovia Department,3617458,NI,13,新塞哥维亚省
NI.12,Matagalpa Department,Matagalpa Department,3617707,NI,12,马塔加尔帕省
NI.11,Masaya Department,Masaya Department,3617722,NI,11,马萨亚省
NI.10,Managua Department,Managua Department,3617762,NI,10,
NI.09,Madriz Department,Madriz Department,3617796,NI,9,马德里斯省
NI.08,León Department,Leon Department,3618029,NI,8,萊昂省
NI.07,Jinotega Department,Jinotega Department,3618928,NI,7,希诺特加省
NI.06,Granada Department,Granada Department,3619135,NI,6,格拉納達省
NI.05,Estelí Department,Esteli Department,3619193,NI,5,埃斯特利省
NI.04,Chontales Department,Chontales Department,3620368,NI,4,琼塔莱斯省
NI.03,Chinandega Department,Chinandega Department,3620380,NI,3,奇南德加省
NI.02,Carazo Department,Carazo Department,3620481,NI,2,卡拉索省
NI.01,Boaco Department,Boaco Department,3620673,NI,1,博阿科省
NI.17,North Caribbean Coast,North Caribbean Coast,3830307,NI,17,北加勒比海岸自治区
NI.18,South Caribbean Coast,South Caribbean Coast,3830308,NI,18,南加勒比海岸自治区
