code,name,name_ascii,geonameid,iso,id,name_cn
NO.05,Finnmark,Finnmark,780166,NO,5,芬马克郡
NO.20,Vestfold,Vestfold,3132015,NO,20,西福尔郡
NO.18,Troms,Troms,3133897,NO,18,特罗姆斯郡
NO.17,Telemark,Telemark,3134723,NO,17,泰勒马克郡
NO.14,Rogaland,Rogaland,3141558,NO,14,罗加兰郡
NO.13,Østfold,Ostfold,3143188,NO,13,东福尔郡
NO.12,Oslo,Oslo,3143242,NO,12,
NO.09,Nordland,Nordland,3144301,NO,9,诺尔兰郡
NO.08,Møre og Romsdal,More og Romsdal,3145495,NO,8,
NO.04,Buskerud,Buskerud,3159665,NO,4,
NO.01,Akershus,Akershus,3163480,NO,1,阿克什胡斯郡
NO.21,Trøndelag,Trondelag,11862827,NO,21,特伦德拉格
NO.42,Agder,Agder,12110596,NO,42,阿格德爾
NO.34,Innlandet,Innlandet,12110598,NO,34,內陸郡
NO.46,Vestland,Vestland,12110600,NO,46,韋斯特蘭郡
