code,name,name_ascii,geonameid,iso,id,name_cn
NR.14,Yaren District,Yaren District,2110418,NR,14,亚伦区
NR.13,Uaboe District,Uaboe District,2110420,NR,13,瓦博埃区
NR.12,Nibok District,Nibok District,2110423,NR,12,尼博克区
NR.11,Meneng District,Meneng District,2110431,NR,11,梅嫩区
NR.10,Ijuw District,Ijuw District,2110432,NR,10,伊朱乌区
NR.09,Ewa District,Ewa District,2110435,NR,9,埃瓦区
NR.08,Denigomodu District,Denigomodu District,2110437,NR,8,代尼戈莫杜区
NR.07,Buada District,Buada District,2110440,NR,7,布阿达区
NR.06,Boe District,Boe District,2110441,NR,6,博埃区
NR.05,Baiti District,Baiti District,2110442,NR,5,拜齐区
NR.04,Anibare District,Anibare District,2110445,NR,4,阿尼巴雷区
NR.03,Anetan District,Anetan District,2110448,NR,3,阿内坦区
NR.02,Anabar District,Anabar District,2110449,NR,2,阿纳巴尔区
NR.01,Aiwo District,Aiwo District,2110451,NR,1,艾沃区
