code,name,name_ascii,geonameid,iso,id,name_cn
NZ.G2,Wellington Region,Wellington Region,2179538,NZ,G2,惠灵顿大区
NZ.F3,Manawatu-Wanganui,Manawatu-Wanganui,2179671,NZ,F3,
NZ.G1,Waikato Region,Waikato Region,2180293,NZ,G1,怀卡托
NZ.TAS,Tasman District,Tasman District,2181818,NZ,TAS,塔斯曼
NZ.F9,Taranaki Region,Taranaki Region,2181872,NZ,F9,塔拉纳基大区
NZ.F8,Southland,Southland,2182501,NZ,F8,南地大区
NZ.E8,Bay of Plenty,Bay of Plenty,2182560,NZ,E8,普伦蒂湾大区
NZ.F6,Northland,Northland,2185978,NZ,F6,北地大区
NZ.F4,Marlborough,Marlborough,2187304,NZ,F4,马尔堡
NZ.F2,Hawke's Bay Region,Hawke's Bay Region,2190146,NZ,F2,霍克湾大区
NZ.F1,Gisborne,Gisborne,2190767,NZ,F1,吉斯伯恩大区
NZ.E9,Canterbury,Canterbury,2192628,NZ,E9,坎特伯雷
NZ.E7,Auckland,Auckland,2193734,NZ,E7,奥克兰大区
NZ.10,Chatham Islands,Chatham Islands,4033013,NZ,10,
NZ.F5,Nelson Region,Nelson Region,6612108,NZ,F5,
NZ.F7,Otago,Otago,6612109,NZ,F7,奥塔哥大区
NZ.G3,West Coast,West Coast,6612113,NZ,G3,西岸大区
