code,name,name_ascii,geonameid,iso,id,name_cn
OM.01,Ad Dakhiliyah,Ad Dakhiliyah,411735,OM,1,内地省
OM.02,Al Batinah South,Al Batinah South,411736,OM,2,
OM.03,Al Wusta Governorate,Al Wusta Governorate,411737,OM,3,中部省
OM.04,Southeastern Governorate,Southeastern Governorate,411738,OM,4,
OM.09,Ad Dhahirah,Ad Dhahirah,411739,OM,9,扎希拉省
OM.06,Muscat,Muscat,411740,OM,6,馬斯喀特省
OM.07,Musandam Governorate,Musandam Governorate,411741,OM,7,穆桑代姆省
OM.08,Dhofar,Dhofar,411742,OM,8,佐法尔省
OM.10,Al Buraimi,Al Buraimi,7110710,OM,10,布赖米省
OM.12,Northeastern Governorate,Northeastern Governorate,8394433,OM,12,东北省
OM.11,Al Batinah North,Al Batinah North,8394434,OM,11,
