code,name,name_ascii,geonameid,iso,id,name_cn
PA.10,Veraguas Province,Veraguas Province,3700159,PA,10,贝拉瓜斯省
PA.09,Guna Yala,Guna Yala,3701537,PA,09,雅拉库纳族自治区
PA.08,Panamá,Panama,3703433,PA,08,
PA.07,Los Santos Province,Los Santos Province,3704961,PA,07,洛斯桑托斯省
PA.06,Herrera Province,Herrera Province,3708710,PA,06,埃雷拉省
PA.05,Darién,Darien,3711671,PA,05,
PA.04,Colón,Colon,3712073,PA,04,
PA.03,Coclé,Cocle,3712162,PA,03,
PA.02,Chiriquí Province,Chiriqui Province,3712410,PA,02,奇里基省
PA.01,Bocas del Toro Province,Bocas del Toro Province,3713954,PA,01,博卡斯德尔托罗省
PA.11,Emberá,Embera,7303686,PA,11,恩贝拉-沃内安特区
PA.12,Ngöbe-Buglé Comarca,Ngoebe-Bugle Comarca,7303688,PA,12,恩戈贝布格勒自治区
PA.13,Panamá Oeste Province,Panama Oeste Province,11353126,PA,13,
PA.NT,Naso Tjër Di,Naso Tjer Di,12508964,PA,NT,
