code,name,name_ascii,geonameid,iso,id,name_cn
PE.25,Ucayali,Ucayali,3691099,PE,25,乌卡亚利大区
PE.24,Tumbes,Tumbes,3691146,PE,24,通贝斯大区
PE.22,San Martín Department,San Martin Department,3692385,PE,22,圣马丁大区
PE.20,Piura,Piura,3693525,PE,20,皮乌拉地区
PE.16,Loreto,Loreto,3695238,PE,16,洛雷托大区
PE.14,Lambayeque,Lambayeque,3695753,PE,14,兰巴耶克大区
PE.13,La Libertad,La Libertad,3695781,PE,13,拉利伯塔德大区
PE.10,Huánuco Department,Huanuco Department,3696416,PE,10,瓦努科大区
PE.06,Cajamarca Department,Cajamarca Department,3699087,PE,06,卡哈马卡大区
PE.02,Ancash,Ancash,3699674,PE,02,安卡什大区
PE.01,Amazonas,Amazonas,3699699,PE,01,亚马孙大区
PE.23,Tacna,Tacna,3928127,PE,23,塔克纳大区
PE.21,Puno,Puno,3931275,PE,21,普诺大区
PE.19,Pasco,Pasco,3932834,PE,19,帕斯科大区
PE.18,Moquegua Department,Moquegua Department,3934607,PE,18,莫克瓜大区
PE.17,Madre de Dios,Madre de Dios,3935619,PE,17,马德雷德迪奥斯大区
PE.LMA,Lima Province,Lima Province,3936451,PE,LMA,利马省
PE.15,Lima region,Lima region,3936452,PE,15,利马大区
PE.12,Junin,Junin,3937485,PE,12,胡宁大区
PE.11,Ica,Ica,3938526,PE,11,伊卡大区
PE.09,Huancavelica,Huancavelica,3939467,PE,09,万卡韦利卡大区
PE.08,Cuzco Department,Cuzco Department,3941583,PE,08,库斯科大区
PE.07,Callao,Callao,3946080,PE,07,
PE.05,Ayacucho,Ayacucho,3947018,PE,05,阿亚库乔大区
PE.04,Arequipa,Arequipa,3947319,PE,04,阿雷基帕大区
PE.03,Apurímac Department,Apurimac Department,3947421,PE,03,阿普里马克大区
