code,name,name_ascii,geonameid,iso,id,name_cn
PG.17,West New Britain Province,West New Britain Province,2083546,PG,17,西新不列颠省
PG.06,Western Province,Western Province,2083549,PG,6,西部省
PG.16,Western Highlands Province,Western Highlands Province,2083551,PG,16,西高地省
PG.05,Southern Highlands Province,Southern Highlands Province,2086331,PG,5,南高地省
PG.18,Sandaun Province,Sandaun Province,2087246,PG,18,桑道恩省
PG.07,Bougainville,Bougainville,2089470,PG,7,
PG.04,Oro Province,Oro Province,2089478,PG,4,北部省
PG.15,New Ireland,New Ireland,2089693,PG,15,新爱尔兰省
PG.20,National Capital,National Capital,2089856,PG,20,
PG.14,Morobe Province,Morobe Province,2090468,PG,14,莫雷贝省
PG.13,Manus Province,Manus Province,2091495,PG,13,马努斯省
PG.12,Madang Province,Madang Province,2091993,PG,12,马当省
PG.02,Gulf Province,Gulf Province,2096633,PG,2,海湾省
PG.19,Enga Province,Enga Province,2097655,PG,19,恩加省
PG.11,East Sepik Province,East Sepik Province,2097846,PG,11,东塞皮克省
PG.10,East New Britain Province,East New Britain Province,2097853,PG,10,东新不列颠省
PG.09,Eastern Highlands Province,Eastern Highlands Province,2097855,PG,9,东高地省
PG.08,Chimbu Province,Chimbu Province,2098593,PG,8,钦布省
PG.03,Milne Bay Province,Milne Bay Province,2132895,PG,3,米尔恩湾省
PG.01,Central Province,Central Province,2133763,PG,1,中央省
PG.21,Hela Province,Hela Province,8521658,PG,21,赫拉省
PG.22,Jiwaka Province,Jiwaka Province,8521660,PG,22,吉瓦卡省
