code,name,name_ascii,geonameid,iso,id,name_cn
PH.14,Autonomous Region in Muslim Mindanao,Autonomous Region in Muslim Mindanao,7115989,PH,14,棉兰老穆斯林自治区
PH.10,Northern Mindanao,Northern Mindanao,7521295,PH,10,北棉兰老
PH.41,Mimaropa,Mimaropa,7521296,PH,41,民马罗巴区
PH.02,Cagayan Valley,Cagayan Valley,7521297,PH,02,卡加延河谷
PH.12,Soccsksargen,Soccsksargen,7521298,PH,12,索科斯克薩爾根
PH.13,Caraga,Caraga,7521299,PH,13,卡拉加区
PH.15,Cordillera,Cordillera,7521300,PH,15,科迪勒拉行政區
PH.01,Ilocos,Ilocos,7521301,PH,01,伊羅戈
PH.40,Calabarzon,Calabarzon,7521303,PH,40,卡拉巴松
PH.06,Western Visayas,Western Visayas,7521304,PH,06,西米沙鄢
PH.03,Central Luzon,Central Luzon,7521305,PH,03,中央吕宋
PH.07,Central Visayas,Central Visayas,7521306,PH,07,中米沙鄢
PH.08,Eastern Visayas,Eastern Visayas,7521307,PH,08,東米沙鄢
PH.09,Zamboanga Peninsula,Zamboanga Peninsula,7521308,PH,09,三宝颜半岛
PH.11,Davao Region,Davao Region,7521309,PH,11,达沃区
PH.05,Bicol Region,Bicol Region,7521310,PH,05,比科爾
PH.NCR,Metro Manila,Metro Manila,7521311,PH,NCR,
