code,name,name_ascii,geonameid,iso,id,name_cn
PL.75,Lublin,Lublin,858785,PL,75,卢布林省
PL.77,Lesser Poland,Lesser Poland,858786,PL,77,小波兰省
PL.78,Mazovia,Mazovia,858787,PL,78,
PL.80,Subcarpathia,Subcarpathia,858788,PL,80,喀尔巴阡山省
PL.81,Podlasie,Podlasie,858789,PL,81,
PL.84,Świętokrzyskie,Swietokrzyskie,858790,PL,84,
PL.85,Warmia-Masuria,Warmia-Masuria,858791,PL,85,瓦尔米亚-马祖里省
PL.72,Lower Silesia,Lower Silesia,3337492,PL,72,下西里西亚省
PL.74,Łódź Voivodeship,Lodz Voivodeship,3337493,PL,74,罗兹省
PL.76,Lubusz,Lubusz,3337494,PL,76,卢布斯卡省
PL.79,Opole Voivodeship,Opole Voivodeship,3337495,PL,79,
PL.82,Pomerania,Pomerania,3337496,PL,82,波美拉尼亞省
PL.83,Silesia,Silesia,3337497,PL,83,西里西亚省
PL.86,Greater Poland,Greater Poland,3337498,PL,86,大波兰省
PL.87,West Pomerania,West Pomerania,3337499,PL,87,西滨海省
PL.73,Kujawsko-Pomorskie,Kujawsko-Pomorskie,3337500,PL,73,
