code,name,name_ascii,geonameid,iso,id,name_cn
PR.001,Adjuntas,Adjuntas,4562487,PR,1,
PR.003,Aguada,Aguada,4562503,PR,3,
PR.005,Aguadilla,Aguadilla,4562512,PR,5,
PR.007,Aguas Buenas,Aguas Buenas,4562516,PR,7,
PR.009,Aibonito,Aibonito,4562531,PR,9,
PR.011,Añasco,Anasco,4562605,PR,11,
PR.013,Arecibo,Arecibo,4562640,PR,13,阿雷西沃
PR.015,Arroyo,Arroyo,4562682,PR,15,
PR.017,Barceloneta,Barceloneta,4562771,PR,17,
PR.019,Barranquitas,Barranquitas,4562779,PR,19,
PR.021,Bayamón,Bayamon,4562837,PR,21,
PR.023,Cabo Rojo,Cabo Rojo,4562997,PR,23,
PR.025,Caguas,Caguas,4563011,PR,25,
PR.027,Camuy,Camuy,4563065,PR,27,
PR.029,Canóvanas,Canovanas,4563169,PR,29,
PR.031,Carolina,Carolina,4563244,PR,31,
PR.033,Cataño,Catano,4563299,PR,33,
PR.035,Cayey,Cayey,4563309,PR,35,
PR.037,Ceiba,Ceiba,4563380,PR,37,
PR.039,Ciales,Ciales,4563774,PR,39,
PR.041,Cidra,Cidra,4563778,PR,41,
PR.043,Coamo,Coamo,4563812,PR,43,
PR.045,Comerío,Comerio,4563921,PR,45,
PR.047,Corozal,Corozal,4564004,PR,47,
PR.049,Culebra,Culebra,4564071,PR,49,
PR.051,Dorado,Dorado,4564134,PR,51,
PR.053,Fajardo,Fajardo,4564949,PR,53,
PR.054,Florida,Florida,4564993,PR,54,
PR.055,Guánica,Guanica,4565091,PR,55,
PR.057,Guayama,Guayama,4565107,PR,57,
PR.059,Guayanilla,Guayanilla,4565112,PR,59,
PR.061,Guaynabo,Guaynabo,4565120,PR,61,
PR.063,Gurabo,Gurabo,4565126,PR,63,
PR.065,Hatillo,Hatillo,4565348,PR,65,
PR.067,Hormigueros,Hormigueros,4565381,PR,67,
PR.069,Humacao,Humacao,4565449,PR,69,
PR.071,Isabela,Isabela,4565581,PR,71,
PR.073,Jayuya,Jayuya,4565684,PR,73,
PR.075,Juana Díaz,Juana Diaz,4565713,PR,75,
PR.077,Juncos,Juncos,4565720,PR,77,
PR.079,Lajas,Lajas,4565900,PR,79,
PR.081,Lares,Lares,4565910,PR,81,
PR.083,Las Marías,Las Marias,4565961,PR,83,
PR.085,Las Piedras,Las Piedras,4565981,PR,85,
PR.087,Loíza,Loiza,4566025,PR,87,
PR.089,Luquillo,Luquillo,4566106,PR,89,
PR.091,Manatí,Manati,4566138,PR,91,
PR.093,Maricao,Maricao,4566180,PR,93,
PR.095,Maunabo,Maunabo,4566209,PR,95,
PR.097,Mayagüez,Mayagueez,4566217,PR,97,
PR.099,Moca,Moca,4566272,PR,99,
PR.101,Morovis,Morovis,4566334,PR,101,
PR.103,Naguabo,Naguabo,4566397,PR,103,
PR.105,Naranjito,Naranjito,4566403,PR,105,
PR.107,Orocovis,Orocovis,4566456,PR,107,
PR.109,Patillas,Patillas,4566654,PR,109,
PR.111,Peñuelas,Penuelas,4566689,PR,111,
PR.113,Ponce,Ponce,4566886,PR,113,
PR.117,Rincón,Rincon,4567727,PR,117,
PR.115,Quebradillas,Quebradillas,4567734,PR,115,
PR.119,Río Grande,Rio Grande,4567823,PR,119,
PR.121,Sabana Grande,Sabana Grande,4568015,PR,121,
PR.123,Salinas,Salinas,4568043,PR,123,
PR.125,San Germán,San German,4568105,PR,125,
PR.127,San Juan,San Juan,4568138,PR,127,
PR.129,San Lorenzo,San Lorenzo,4568150,PR,129,
PR.131,San Sebastián,San Sebastian,4568177,PR,131,
PR.133,Santa Isabel,Santa Isabel,4568213,PR,133,
PR.135,Toa Alta,Toa Alta,4568404,PR,135,
PR.137,Toa Baja,Toa Baja,4568408,PR,137,
PR.139,Trujillo Alto,Trujillo Alto,4568452,PR,139,
PR.141,Utuado,Utuado,4568491,PR,141,
PR.143,Vega Alta,Vega Alta,4568529,PR,143,
PR.145,Vega Baja,Vega Baja,4568534,PR,145,
PR.149,Villalba,Villalba,4568684,PR,149,
PR.151,Yabucoa,Yabucoa,4568909,PR,151,
PR.153,Yauco,Yauco,4568918,PR,153,
PR.147,Vieques,Vieques,4568924,PR,147,
