code,name,name_ascii,geonameid,iso,id,name_cn
PT.19,Setúbal,Setubal,2262961,PT,19,塞图巴尔区
PT.18,Santarém,Santarem,2263478,PT,18,圣塔伦区
PT.16,Portalegre,Portalegre,2264507,PT,16,波塔萊格雷區
PT.14,Lisbon,Lisbon,2267056,PT,14,里斯本区
PT.13,Leiria,Leiria,2267094,PT,13,莱里亚区
PT.09,Faro,Faro,2268337,PT,9,法鲁区
PT.08,Évora,Evora,2268404,PT,8,埃武拉区
PT.06,Castelo Branco,Castelo Branco,2269513,PT,6,布朗库堡区
PT.03,Beja,Beja,2270984,PT,3,贝雅区
PT.10,Madeira,Madeira,2593105,PT,10,马德拉
PT.22,Viseu,Viseu,2732264,PT,22,维塞乌区
PT.21,Vila Real,Vila Real,2732437,PT,21,雷阿尔城区
PT.20,Viana do Castelo,Viana do Castelo,2732772,PT,20,维亚纳堡区
PT.17,Porto,Porto,2735941,PT,17,波尔图区
PT.11,Guarda,Guarda,2738782,PT,11,瓜达区
PT.07,Coimbra,Coimbra,2740636,PT,7,科英布拉区
PT.05,Bragança,Braganca,2742026,PT,5,布拉干萨区
PT.04,Braga,Braga,2742031,PT,4,布拉加区
PT.02,Aveiro,Aveiro,2742610,PT,2,
PT.23,Azores,Azores,3411865,PT,23,
