code,name,name_ascii,geonameid,iso,id,name_cn
PW.11,Ngatpang,Ngatpang,1559532,PW,11,雅庞
PW.16,Sonsorol,Sonsorol,1559630,PW,16,松索罗尔
PW.05,Kayangel,Kayangel,1559774,PW,5,卡扬埃尔
PW.04,Hatohobei,Hatohobei,1559776,PW,4,哈托博海伊州
PW.01,Aimeliik,Aimeliik,1559964,PW,1,艾梅利克州
PW.02,Airai,Airai,4037645,PW,2,艾拉伊州
PW.03,Angaur,Angaur,4037653,PW,3,安加尔
PW.06,Koror,Koror,4037892,PW,6,科罗尔州
PW.07,Melekeok,Melekeok,4037930,PW,7,梅莱凯奥克州
PW.08,Ngaraard,Ngaraard,4037962,PW,8,雅拉尔德州
PW.12,Ngchesar,Ngchesar,4037976,PW,12,恩切萨尔州
PW.09,Ngarchelong,Ngarchelong,4038037,PW,9,雅切隆州
PW.10,Ngardmau,Ngardmau,4038043,PW,10,雅德马乌州
PW.13,Ngeremlengui,Ngeremlengui,4038068,PW,13,埃雷姆伦维州
PW.14,Ngiwal,Ngiwal,4038179,PW,14,宜瓦尔州
PW.15,Peleliu,Peleliu,4038261,PW,15,佩莱利乌州
