code,name,name_ascii,geonameid,iso,id,name_cn
PY.17,San Pedro Department,San Pedro Department,3437027,PY,17,圣佩德罗省
PY.16,Presidente Hayes,Presidente Hayes,3437443,PY,16,阿耶斯总统省
PY.15,Paraguarí,Paraguari,3437599,PY,15,
PY.13,Ñeembucú Department,Neembucu Department,3437677,PY,13,
PY.12,Misiones Department,Misiones Department,3437727,PY,12,米西奥内斯省
PY.11,Itapúa,Itapua,3437923,PY,11,伊塔普阿省
PY.10,Guairá,Guaira,3438049,PY,10,
PY.08,Cordillera Department,Cordillera Department,3438827,PY,8,科迪勒拉省
PY.07,Concepción,Concepcion,3438833,PY,7,
PY.06,Central Department,Central Department,3439137,PY,6,中央省
PY.19,Canindeyú,Canindeyu,3439216,PY,19,卡宁德尤省
PY.05,Caazapá,Caazapa,3439296,PY,5,卡萨帕省
PY.04,Caaguazú Department,Caaguazu Department,3439312,PY,4,
PY.02,Amambay Department,Amambay Department,3439433,PY,2,阿曼拜省
PY.01,Alto Paraná Department,Alto Parana Department,3439440,PY,1,
PY.23,Alto Paraguay,Alto Paraguay,3439441,PY,23,上巴拉圭省
PY.22,Asunción,Asuncion,3474570,PY,22,
PY.24,Boquerón Department,Boqueron Department,3867442,PY,24,
