code,name,name_ascii,geonameid,iso,id,name_cn
RO.40,Vrancea,Vrancea,662447,RO,40,弗朗恰县
RO.39,Vâlcea County,Valcea County,662892,RO,39,沃尔恰县
RO.38,Vaslui County,Vaslui County,663116,RO,38,
RO.37,Tulcea County,Tulcea County,664517,RO,37,图尔恰县
RO.36,Timiș County,Timis County,665091,RO,36,蒂米什县
RO.35,Teleorman County,Teleorman County,665283,RO,35,特列奥尔曼县
RO.34,Suceava,Suceava,665849,RO,34,苏恰瓦县
RO.33,Sibiu County,Sibiu County,667267,RO,33,锡比乌县
RO.32,Satu Mare County,Satu Mare County,667869,RO,32,萨图马雷县
RO.31,Sălaj County,Salaj County,668248,RO,31,瑟拉日县
RO.30,Prahova,Prahova,669737,RO,30,普拉霍瓦县
RO.29,Olt,Olt,671857,RO,29,奥尔特县
RO.28,Neamț County,Neamt County,672460,RO,28,尼亚姆茨县
RO.27,Mureș County,Mures County,672628,RO,27,穆列什县
RO.26,Mehedinți County,Mehedinti County,673612,RO,26,梅赫丁茨县
RO.25,Maramureş,Maramures,673887,RO,25,马拉穆列什县
RO.23,Iași County,Iasi County,675809,RO,23,雅西县
RO.22,Ialomița County,Ialomita County,675848,RO,22,雅洛米察县
RO.21,Hunedoara County,Hunedoara County,675917,RO,21,胡内多阿拉县
RO.20,Harghita County,Harghita County,676309,RO,20,
RO.19,Gorj County,Gorj County,676898,RO,19,戈尔日县
RO.42,Giurgiu County,Giurgiu County,677104,RO,42,久尔久县
RO.18,Galați County,Galati County,677692,RO,18,加拉茨县
RO.17,Dolj,Dolj,679134,RO,17,多尔日县
RO.16,Dâmbovița County,Dambovita County,679385,RO,16,登博维察县
RO.15,Covasna County,Covasna County,680428,RO,15,科瓦斯纳县
RO.14,Constanța County,Constanta County,680962,RO,14,康斯坦察县
RO.13,Cluj County,Cluj County,681291,RO,13,克卢日县
RO.12,Caraș-Severin County,Caras-Severin County,682714,RO,12,卡拉什-塞维林县
RO.41,Călărași County,Calarasi County,683016,RO,41,克勒拉希县
RO.11,Buzău County,Buzau County,683121,RO,11,布泽乌县
RO.10,București,Bucuresti,683504,RO,10,
RO.09,Brașov County,Brasov County,683843,RO,9,布拉索夫县
RO.08,Brăila County,Braila County,683901,RO,8,布勒伊拉县
RO.07,Botoșani County,Botosani County,684038,RO,7,博托沙尼县
RO.06,Bistrița-Năsăud County,Bistrita-Nasaud County,684647,RO,6,比斯特里察-讷瑟乌德县
RO.05,Bihor County,Bihor County,684878,RO,5,比霍尔县
RO.04,Bacău County,Bacau County,685947,RO,4,巴克乌县
RO.03,Arges,Arges,686192,RO,3,阿尔杰什县
RO.02,Arad County,Arad County,686253,RO,2,阿拉德县
RO.01,Alba County,Alba County,686581,RO,1,阿尔巴县
RO.43,Ilfov,Ilfov,865518,RO,43,伊尔福夫县
