code,name,name_ascii,geonameid,iso,id,name_cn
RU.88,Yaroslavl Oblast,Yaroslavl Oblast,468898,RU,88,雅罗斯拉夫尔州
RU.86,Voronezh Oblast,Voronezh Oblast,472039,RU,86,沃罗涅日州
RU.85,Vologda Oblast,Vologda Oblast,472454,RU,85,沃洛格达州
RU.84,Volgograd Oblast,Volgograd Oblast,472755,RU,84,伏尔加格勒州
RU.81,Ulyanovsk,Ulyanovsk,479119,RU,81,乌里扬诺夫斯克州
RU.80,Udmurtiya Republic,Udmurtiya Republic,479613,RU,80,
RU.77,Tver Oblast,Tver Oblast,480041,RU,77,特维尔州
RU.76,Tula Oblast,Tula Oblast,480508,RU,76,图拉州
RU.73,Tatarstan Republic,Tatarstan Republic,484048,RU,73,
RU.72,Tambov Oblast,Tambov Oblast,484638,RU,72,坦波夫州
RU.70,Stavropol Kray,Stavropol Kray,487839,RU,70,斯塔夫罗波尔边疆区
RU.69,Smolensk Oblast,Smolensk Oblast,491684,RU,69,斯摩棱斯克州
RU.67,Saratov Oblast,Saratov Oblast,498671,RU,67,萨拉托夫州
RU.65,Samara Oblast,Samara Oblast,499068,RU,65,萨马拉州
RU.62,Ryazan Oblast,Ryazan Oblast,500059,RU,62,梁赞州
RU.61,Rostov,Rostov,501165,RU,61,罗斯托夫州
RU.60,Pskov Oblast,Pskov Oblast,504338,RU,60,普斯科夫州
RU.90,Perm Krai,Perm Krai,511180,RU,90,彼爾姆邊疆區
RU.57,Penza Oblast,Penza Oblast,511555,RU,57,奔萨州
RU.56,Oryol oblast,Oryol oblast,514801,RU,56,奥廖尔州
RU.55,Orenburg Oblast,Orenburg Oblast,515001,RU,55,
RU.52,Novgorod Oblast,Novgorod Oblast,519324,RU,52,诺夫哥罗德州
RU.68,North Ossetia–Alania,North Ossetia-Alania,519969,RU,68,北奥塞梯-阿兰共和国
RU.50,Nenets,Nenets,522652,RU,50,涅涅茨自治区
RU.49,Murmansk,Murmansk,524304,RU,49,摩尔曼斯克州
RU.48,Moscow,Moscow,524894,RU,48,
RU.47,Moscow Oblast,Moscow Oblast,524925,RU,47,莫斯科州
RU.46,Mordoviya Republic,Mordoviya Republic,525369,RU,46,莫尔多瓦共和国
RU.45,Mariy-El Republic,Mariy-El Republic,529352,RU,45,马里埃尔共和国
RU.43,Lipetsk Oblast,Lipetsk Oblast,535120,RU,43,利佩茨克州
RU.42,Leningradskaya Oblast',Leningradskaya Oblast',536199,RU,42,列宁格勒州
RU.66,St.-Petersburg,St.-Petersburg,536203,RU,66,
RU.41,Kursk Oblast,Kursk Oblast,538555,RU,41,库尔斯克州
RU.38,Krasnodar Krai,Krasnodar Krai,542415,RU,38,克拉斯诺达尔边疆区
RU.37,Kostroma Oblast,Kostroma Oblast,543871,RU,37,科斯特罗马州
RU.34,Komi,Komi,545854,RU,34,科米共和国
RU.33,Kirov Oblast,Kirov Oblast,548389,RU,33,基洛夫州
RU.28,Karelia,Karelia,552548,RU,28,卡累利阿共和国
RU.27,Karachayevo-Cherkesiya Republic,Karachayevo-Cherkesiya Republic,552927,RU,27,卡拉恰伊-切尔克斯共和国
RU.25,Kaluga Oblast,Kaluga Oblast,553899,RU,25,卡卢加州
RU.24,Kalmykiya Republic,Kalmykiya Republic,553972,RU,24,卡尔梅克共和国
RU.23,Kaliningrad Oblast,Kaliningrad Oblast,554230,RU,23,加里宁格勒州
RU.22,Kabardino-Balkariya Republic,Kabardino-Balkariya Republic,554667,RU,22,卡巴尔达-巴尔卡尔共和国
RU.21,Ivanovo Oblast,Ivanovo Oblast,555235,RU,21,伊万诺沃州
RU.19,Ingushetiya Republic,Ingushetiya Republic,556349,RU,19,
RU.51,Nizhny Novgorod Oblast,Nizhny Novgorod Oblast,559838,RU,51,下诺夫哥罗德州
RU.17,Dagestan,Dagestan,567293,RU,17,达吉斯坦共和国
RU.16,Chuvash Republic,Chuvash Republic,567395,RU,16,楚瓦什共和国
RU.12,Chechnya,Chechnya,569665,RU,12,车臣共和国
RU.10,Bryansk Oblast,Bryansk Oblast,571473,RU,10,布良斯克州
RU.09,Belgorod Oblast,Belgorod Oblast,578071,RU,9,别尔哥罗德州
RU.08,Bashkortostan Republic,Bashkortostan Republic,578853,RU,8,巴什科尔托斯坦共和国
RU.07,Astrakhan Oblast,Astrakhan Oblast,580491,RU,7,阿斯特拉罕州
RU.06,Arkhangelskaya,Arkhangelskaya,581043,RU,6,阿尔汉格尔斯克州
RU.01,Adygeya Republic,Adygeya Republic,584222,RU,1,阿迪格共和国
RU.83,Vladimir Oblast,Vladimir Oblast,826294,RU,83,弗拉基米尔州
RU.87,Yamalo-Nenets,Yamalo-Nenets,1486462,RU,87,亚马尔-涅涅茨自治区
RU.78,Tyumen Oblast,Tyumen Oblast,1488747,RU,78,秋明州
RU.79,Republic of Tyva,Republic of Tyva,1488873,RU,79,图瓦共和国
RU.75,Tomsk Oblast,Tomsk Oblast,1489421,RU,75,
RU.71,Sverdlovsk Oblast,Sverdlovsk Oblast,1490542,RU,71,斯维尔德洛夫斯克州
RU.54,Omsk Oblast,Omsk Oblast,1496152,RU,54,鄂木斯克州
RU.53,Novosibirsk Oblast,Novosibirsk Oblast,1496745,RU,53,新西伯利亚州
RU.40,Kurgan Oblast,Kurgan Oblast,1501312,RU,40,库尔干州
RU.91,Krasnoyarsk Krai,Krasnoyarsk Krai,1502020,RU,91,
RU.32,Khanty-Mansia,Khanty-Mansia,1503773,RU,32,
RU.31,Khakasiya Republic,Khakasiya Republic,1503834,RU,31,哈卡斯共和国
RU.29,Kuzbass,Kuzbass,1503900,RU,29,
RU.03,Altai,Altai,1506272,RU,3,阿尔泰共和国
RU.13,Chelyabinsk,Chelyabinsk,1508290,RU,13,车里雅宾斯克州
RU.04,Altai Krai,Altai Krai,1511732,RU,4,阿尔泰边疆区
RU.63,Sakha,Sakha,2013162,RU,63,
RU.59,Primorye,Primorye,2017623,RU,59,滨海边疆区
RU.30,Khabarovsk,Khabarovsk,2022888,RU,30,哈巴罗夫斯克边疆区
RU.20,Irkutsk Oblast,Irkutsk Oblast,2023468,RU,20,
RU.89,Jewish Autonomous Oblast,Jewish Autonomous Oblast,2026639,RU,89,犹太自治州
RU.05,Amur Oblast,Amur Oblast,2027748,RU,5,阿穆尔州
RU.11,Buryatiya Republic,Buryatiya Republic,2050915,RU,11,
RU.64,Sakhalin Oblast,Sakhalin Oblast,2121529,RU,64,萨哈林州
RU.44,Magadan Oblast,Magadan Oblast,2123627,RU,44,马加丹州
RU.92,Kamchatka,Kamchatka,2125072,RU,92,
RU.15,Chukotka,Chukotka,2126099,RU,15,楚科奇自治区
RU.93,Zabaykalskiy (Transbaikal) Kray,Zabaykalskiy (Transbaikal) Kray,7779061,RU,93,
