code,name,name_ascii,geonameid,iso,id,name_cn
SA.19,Tabuk Region,Tabuk Region,101627,SA,19,塔布克省
SA.16,Najran Region,Najran Region,103628,SA,16,奈季兰省
SA.14,Mecca Region,Mecca Region,104514,SA,14,
SA.17,Jazan Region,Jazan Region,105298,SA,17,
SA.13,Ha'il Region,Ha'il Region,106280,SA,13,
SA.11,'Asir Region,'Asir Region,108179,SA,11,阿西尔省
SA.06,Eastern Province,Eastern Province,108241,SA,6,东部省
SA.10,Riyadh Region,Riyadh Region,108411,SA,10,利雅得省
SA.08,Al-Qassim Region,Al-Qassim Region,108933,SA,8,
SA.05,Medina Region,Medina Region,109224,SA,5,
SA.20,Al Jawf Region,Al Jawf Region,109470,SA,20,
SA.15,Northern Borders Region,Northern Borders Region,109579,SA,15,
SA.02,Al Bahah Region,Al Bahah Region,109954,SA,2,
