code,name,name_ascii,geonameid,iso,id,name_cn
SB.11,Western Province,Western Province,2101556,SB,11,西部省
SB.03,Malaita Province,Malaita Province,2106552,SB,3,马莱塔省
SB.07,Isabel Province,Isabel Province,2108262,SB,7,伊莎贝尔省
SB.06,Guadalcanal Province,Guadalcanal Province,2108831,SB,6,瓜达尔卡纳尔省
SB.10,Central Province,Central Province,2109495,SB,10,中部群岛省
SB.09,Temotu Province,Temotu Province,2178472,SB,9,泰莫图省
SB.08,Makira-Ulawa Province,Makira-Ulawa Province,2178730,SB,8,馬基拉-烏拉瓦省
SB.12,Choiseul Province,Choiseul Province,7280292,SB,12,舒瓦瑟尔省
SB.13,Rennell and Bellona Province,Rennell and Bellona Province,7280293,SB,13,拉纳尔和贝罗纳省
SB.14,Honiara,Honiara,9259067,SB,14,
