code,name,name_ascii,geonameid,iso,id,name_cn
SC.23,Takamaka,Takamaka,241151,SC,23,塔卡玛卡区
SC.22,Saint Louis,Saint Louis,241181,SC,22,圣路易区
SC.27,Port Glaud,Port Glaud,241215,SC,27,波特格劳德区
SC.20,Pointe La Rue,Pointe La Rue,241221,SC,20,普安特拉儒区
SC.19,Plaisance,Plaisance,241224,SC,19,普莱桑斯区
SC.18,Mont Fleuri,Mont Fleuri,241251,SC,18,蒙弗勒利区
SC.17,Mont Buxton,Mont Buxton,241252,SC,17,蒙巴克斯顿区
SC.26,La Rivière Anglaise,La Riviere Anglaise,241302,SC,26,英吉利河
SC.25,La Digue and Inner Islands,La Digue and Inner Islands,241311,SC,25,拉蒂格与内岛区
SC.24,Grand Anse Mahe,Grand Anse Mahe,241330,SC,24,
SC.14,Grand Anse Praslin,Grand Anse Praslin,241331,SC,14,
SC.12,Glacis,Glacis,241336,SC,12,格拉西斯区
SC.11,Cascade,Cascade,241396,SC,11,卡斯喀得区
SC.10,Bel Ombre,Bel Ombre,241424,SC,10,貝爾翁布雷區
SC.09,Bel Air,Bel Air,241426,SC,9,贝尔艾尔区
SC.08,Beau Vallon,Beau Vallon,241428,SC,8,
SC.07,Baie Sainte Anne,Baie Sainte Anne,241438,SC,7,贝圣安那区
SC.06,Baie Lazare,Baie Lazare,241439,SC,6,贝拉扎尔区
SC.05,Anse Royale,Anse Royale,241444,SC,5,
SC.03,Anse Etoile,Anse Etoile,241447,SC,3,安塞艾托瓦区
SC.02,Anse Boileau,Anse Boileau,241449,SC,2,
SC.01,Anse-aux-Pins,Anse-aux-Pins,241450,SC,1,安塞奥潘区
SC.29,Les Mamelles,Les Mamelles,448408,SC,29,雷玛麦尔区
SC.30,Roche Caiman,Roche Caiman,448409,SC,30,罗切凯曼区
SC.28,Au Cap,Au Cap,448410,SC,28,奥凯普区
SC.11876017,Outer Islands,Outer Islands,11876017,SC,11876017,
SC.12200079,Ile Perseverance I,Ile Perseverance I,12200079,SC,12200079,
SC.12200080,Ile Perseverance II,Ile Perseverance II,12200080,SC,12200080,
