code,name,name_ascii,geonameid,iso,id,name_cn
SD.43,Northern State,Northern State,378389,SD,43,北部州
SD.29,Khartoum,Khartoum,379253,SD,29,喀土穆州
SD.36,Red Sea,Red Sea,408646,SD,36,红海州
SD.38,Al Jazīrah,Al Jazirah,408648,SD,38,杰济拉州
SD.39,Al Qaḑārif,Al Qadarif,408649,SD,39,加达里夫州
SD.41,White Nile,White Nile,408653,SD,41,白尼罗州
SD.42,Blue Nile,Blue Nile,408654,SD,42,青尼罗州
SD.47,Western Darfur,Western Darfur,408658,SD,47,西达尔富尔州
SD.62,West Kordofan State,West Kordofan State,408659,SD,62,西科尔多凡州
SD.49,Southern Darfur,Southern Darfur,408660,SD,49,南达尔富尔州
SD.50,Southern Kordofan,Southern Kordofan,408661,SD,50,南科尔多凡州
SD.52,Kassala,Kassala,408663,SD,52,卡萨拉州
SD.53,River Nile,River Nile,408664,SD,53,尼罗州
SD.55,Northern Darfur,Northern Darfur,408666,SD,55,北达尔富尔州
SD.56,North Kordofan,North Kordofan,408667,SD,56,北科尔多凡州
SD.58,Sinnār,Sinnar,408669,SD,58,森纳尔州
SD.60,Eastern Darfur,Eastern Darfur,8394435,SD,60,东达尔富尔州
SD.61,Central Darfur,Central Darfur,8394436,SD,61,中达尔富尔州
