code,name,name_ascii,geonameid,iso,id,name_cn
SE.14,Norrbotten,Norrbotten,604010,SE,14,北博滕省
SE.25,Västmanland,Vaestmanland,2664179,SE,25,西曼兰省
SE.24,Västernorrland,Vaesternorrland,2664292,SE,24,西诺尔兰省
SE.23,Västerbotten,Vaesterbotten,2664415,SE,23,西博滕省
SE.22,Värmland,Vaermland,2664870,SE,22,韦姆兰省
SE.21,Uppsala,Uppsala,2666218,SE,21,乌普萨拉省
SE.26,Stockholm,Stockholm,2673722,SE,26,
SE.18,Södermanland,Soedermanland,2676207,SE,18,南曼兰省
SE.16,Östergötland,OEstergoetland,2685867,SE,16,东约特兰省
SE.15,Örebro,OErebro,2686655,SE,15,厄勒布鲁省
SE.12,Kronoberg,Kronoberg,2699050,SE,12,克鲁努贝里省
SE.10,Dalarna,Dalarna,2699767,SE,10,达拉纳省
SE.09,Kalmar,Kalmar,2702259,SE,9,卡尔马省
SE.08,Jönköping,Joenkoeping,2702976,SE,8,延雪平省
SE.07,Jämtland,Jaemtland,2703330,SE,7,耶姆特兰省
SE.06,Halland,Halland,2708794,SE,6,哈兰省
SE.05,Gotland,Gotland,2711508,SE,5,哥得兰省
SE.03,Gävleborg,Gaevleborg,2712411,SE,3,耶夫勒堡省
SE.02,Blekinge,Blekinge,2721357,SE,2,布莱金厄省
SE.27,Skåne,Skane,3337385,SE,27,斯科讷省
SE.28,Västra Götaland,Vaestra Goetaland,3337386,SE,28,西约塔兰省
