code,name,name_ascii,geonameid,iso,id,name_cn
SI.N5,Žalec,Zalec,3186843,SI,N5,
SI.E7,Zagorje ob Savi Municipality,Zagorje ob Savi Municipality,3186905,SI,E7,萨瓦河畔扎戈列市镇
SI.E5,Vrhnika,Vrhnika,3187213,SI,E5,
SI.D5,Tržič,Trzic,3188687,SI,D5,
SI.D4,Trebnje,Trebnje,3188885,SI,D4,特雷布涅市镇
SI.D3,Trbovlje,Trbovlje,3188914,SI,D3,
SI.D2,Tolmin,Tolmin,3189037,SI,D2,
SI.D7,Velenje,Velenje,3189074,SI,D7,
SI.C5,Šmarje pri Jelšah,Smarje pri Jelsah,3190509,SI,C5,
SI.C4,Slovenska Konjice,Slovenska Konjice,3190529,SI,C4,斯洛文尼亞科尼采
SI.L8,Slovenska Bistrica,Slovenska Bistrica,3190533,SI,L8,斯洛文尼亞比斯特里察
SI.C2,Slovenj Gradec,Slovenj Gradec,3190535,SI,C2,
SI.B9,Škofja Loka,Skofja Loka,3190716,SI,B9,什科菲亚洛卡市镇
SI.B7,Sežana,Sezana,3190944,SI,B7,
SI.B6,Sevnica Municipality,Sevnica Municipality,3190949,SI,B6,塞夫尼察市镇
SI.L7,Sentjur,Sentjur,3191028,SI,L7,申特尤尔市镇
SI.L1,Ribnica,Ribnica,3191679,SI,L1,
SI.A3,Radovljica,Radovljica,3192062,SI,A3,拉多夫利察市镇
SI.A2,Radlje ob Dravi,Radlje ob Dravi,3192120,SI,A2,
SI.K7,Ptuj,Ptuj,3192240,SI,K7,普图伊
SI.94,Postojna,Postojna,3192672,SI,94,波斯托伊納
SI.J9,Piran-Pirano,Piran-Pirano,3193340,SI,J9,
SI.87,Ormož,Ormoz,3193964,SI,87,
SI.J7,Novo Mesto,Novo Mesto,3194350,SI,J7,
SI.84,Nova Gorica,Nova Gorica,3194451,SI,84,
SI.80,Murska Sobota,Murska Sobota,3194647,SI,80,
SI.79,Mozirje,Mozirje,3194791,SI,79,
SI.73,Metlika,Metlika,3195213,SI,73,
SI.J2,Maribor City Municipality,Maribor City Municipality,3195505,SI,J2,马里博尔城市市镇
SI.64,Logatec,Logatec,3196288,SI,64,洛加泰茨市镇
SI.I6,Ljutomer,Ljutomer,3196306,SI,I6,柳托梅爾
SI.I5,Litija,Litija,3196424,SI,I5,
SI.I3,Lenart,Lenart,3196684,SI,I3,
SI.57,Laško Municipality,Lasko Municipality,3196759,SI,57,拉什科市镇
SI.54,Krško,Krsko,3197146,SI,54,
SI.52,Kranj,Kranj,3197377,SI,52,
SI.50,Koper-Capodistria,Koper-Capodistria,3197752,SI,50,科佩尔
SI.H7,Kočevje,Kocevje,3197942,SI,H7,
SI.H6,Kamnik,Kamnik,3198364,SI,H6,
SI.H4,Jesenice,Jesenice,3198646,SI,H4,
SI.40,Izola-Isola,Izola-Isola,3199016,SI,40,伊佐拉
SI.38,Ilirska Bistrica,Ilirska Bistrica,3199130,SI,38,伊利爾斯卡比斯特里察
SI.36,Idrija,Idrija,3199169,SI,36,伊德里亞
SI.34,Hrastnik Municipality,Hrastnik Municipality,3199296,SI,34,赫拉斯特尼克市镇
SI.32,Grosuplje,Grosuplje,3199522,SI,32,
SI.29,Gornja Radgona,Gornja Radgona,3200196,SI,29,
SI.25,Dravograd,Dravograd,3201252,SI,25,
SI.G7,Domžale,Domzale,3201729,SI,G7,
SI.17,Črnomelj Municipality,Crnomelj Municipality,3202332,SI,17,奇尔诺梅利市镇
SI.13,Cerknica,Cerknica,3202707,SI,13,
SI.11,Celje,Celje,3202780,SI,11,
SI.08,Brežice,Brezice,3203411,SI,08,
SI.01,Ajdovščina Municipality,Ajdovscina Municipality,3204853,SI,01,阿伊多夫什契纳市镇
SI.35,Hrpelje-Kozina,Hrpelje-Kozina,3239050,SI,35,
SI.19,Divača,Divaca,3239051,SI,19,
SI.91,Pivka,Pivka,3239054,SI,91,皮夫卡
