code,name,name_ascii,geonameid,iso,id,name_cn
SN.12,Ziguinchor,Ziguinchor,2243939,SN,12,济金绍尔区
SN.07,Thiès,Thies,2244800,SN,7,
SN.05,Tambacounda,Tambacounda,2244990,SN,5,坦巴昆达区
SN.14,Saint-Louis,Saint-Louis,2246451,SN,14,圣路易区
SN.15,Matam,Matam,2248753,SN,15,马塔姆区
SN.13,Louga,Louga,2249221,SN,13,卢加区
SN.11,Kolda,Kolda,2249781,SN,11,科尔达区
SN.10,Kaolack,Kaolack,2250804,SN,10,考拉克区
SN.09,Fatick,Fatick,2251910,SN,9,法蒂克区
SN.03,Diourbel Region,Diourbel Region,2252308,SN,3,久尔贝勒区
SN.01,Dakar,Dakar,2253350,SN,1,达喀尔区
SN.16,Kaffrine,Kaffrine,7303935,SN,16,卡夫林区
SN.17,Kédougou,Kedougou,7303936,SN,17,
SN.18,Sédhiou,Sedhiou,7303937,SN,18,塞久区
