code,name,name_ascii,geonameid,iso,id,name_cn
SO.20,Woqooyi Galbeed,Woqooyi Galbeed,50360,SO,20,
SO.19,Togdheer,Togdheer,51230,SO,19,
SO.14,Lower Shabeelle,Lower Shabeelle,51966,SO,14,
SO.13,Middle Shabele,Middle Shabele,51967,SO,13,
SO.12,Sanaag,Sanaag,52187,SO,12,
SO.18,Nugaal,Nugaal,53477,SO,18,
SO.10,Mudug,Mudug,53707,SO,10,
SO.09,Lower Juba,Lower Juba,56083,SO,9,
SO.08,Middle Juba,Middle Juba,56084,SO,8,
SO.07,Hiiraan,Hiiraan,57060,SO,7,
SO.06,Gedo,Gedo,58802,SO,6,
SO.05,Galguduud,Galguduud,59362,SO,5,
SO.04,Bay,Bay,64538,SO,4,
SO.03,Bari,Bari,64661,SO,3,
SO.02,Banaadir,Banaadir,64833,SO,2,
SO.01,Bakool,Bakool,64982,SO,1,
SO.21,Awdal,Awdal,6268943,SO,21,
SO.22,Sool,Sool,6268947,SO,22,
