code,name,name_ascii,geonameid,iso,id,name_cn
SR.19,Wanica District,Wanica District,3382761,SR,19,瓦尼卡区
SR.18,Sipaliwini District,Sipaliwini District,3383062,SR,18,锡帕利维尼区
SR.17,Saramacca District,Saramacca District,3383110,SR,17,萨拉马卡区
SR.16,Paramaribo District,Paramaribo District,3383329,SR,16,帕拉马里博区
SR.15,Para District,Para District,3383337,SR,15,帕拉区
SR.14,Nickerie District,Nickerie District,3383438,SR,14,尼克里区
SR.13,Marowijne District,Marowijne District,3383560,SR,13,马罗韦讷区
SR.12,Coronie District,Coronie District,3384397,SR,12,科罗尼区
SR.11,Commewijne District,Commewijne District,3384418,SR,11,科默韦讷区
SR.10,Brokopondo District,Brokopondo District,3384481,SR,10,布罗科蓬多区
