code,name,name_ascii,geonameid,iso,id,name_cn
SS.07,Upper Nile,Upper Nile,381229,SS,7,上尼罗州
SS.04,Lakes,Lakes,408647,SS,4,湖泊州
SS.06,Unity,Unity,408650,SS,6,团结州
SS.01,Central Equatoria,Central Equatoria,408655,SS,1,中赤道州
SS.10,Western Equatoria,Western Equatoria,408656,SS,10,西赤道州
SS.09,Western Bahr al Ghazal,Western Bahr al Ghazal,408657,SS,9,西加扎勒河州
SS.03,Jonglei,Jonglei,408662,SS,3,琼莱州
SS.05,Northern Bahr al Ghazal,Northern Bahr al Ghazal,408665,SS,5,北加扎勒河州
SS.02,Eastern Equatoria,Eastern Equatoria,408668,SS,2,东赤道州
SS.08,Warrap,Warrap,408670,SS,8,瓦拉卜州
